"scientific_name","species","iucn_category","individuals","superclass","taxon_id","synonym","tol_id","genus","family","order","class","zoonomia","taxon_rank","genome","cell_lines","nspecies","assembly_level","genome_size","illumina","silencer"
"Cercocebus torquatus","Cercocebus torquatus","ENDANGERED",2,"Mammalia","9531","Cercocebus collaris","mCerAty","Cercocebus","Cercopithecidae","Primates","Mammalia",FALSE,"species",TRUE,2,24,"Scaffold",3657720000,TRUE,FALSE
"Papio cynocephalus","Papio cynocephalus","LEAST CONCERN",1,"Mammalia","9555","Papio cynocephalus","mPapAnu","Papio","Cercopithecidae","Primates","Mammalia",FALSE,"species",TRUE,1,24,"Chromosome",3457230000,TRUE,TRUE
"Hylobates muelleri","Hylobates muelleri","ENDANGERED",1,"Mammalia","9589","Hylobates cinereus muelleri","mHylPil","Hylobates","Hylobatidae","Primates","Mammalia",FALSE,"species",TRUE,1,24,"Chromosome",3168720000,TRUE,FALSE
"Macaca sylvanus","Macaca sylvanus","ENDANGERED",2,"Mammalia",NA,"Simia pithecus",NA,"Macaca","Cercopithecidae","Primates","Mammalia",FALSE,NA,FALSE,2,24,"No Genome",NA,TRUE,FALSE
"Cebuella pygmaea","Cebuella pygmaea","VULNERABLE",4,"Mammalia",NA,"Cebuella pygmaea",NA,"Cebuella","Cebidae","Primates","Mammalia",TRUE,NA,TRUE,4,24,"No Genome",NA,TRUE,FALSE
"Leontopithecus chrysomelas","Leontopithecus chrysomelas","ENDANGERED",1,"Mammalia","30588","Leontopithecus chrysomelas","mLeoRos","Leontopithecus","Cebidae","Primates","Mammalia",FALSE,"species",TRUE,1,24,"Chromosome",3378990000,TRUE,FALSE
"Hylobates lar","Hylobates lar","ENDANGERED",2,"Mammalia","9589","Hylobates lar","mHylPil","Hylobates","Hylobatidae","Primates","Mammalia",FALSE,"species",TRUE,1,24,"Chromosome",3168720000,TRUE,FALSE
"Callimico goeldii","Callimico goeldii","VULNERABLE",1,"Mammalia",NA,"Callithrix goeldii",NA,"Callimico","Cebidae","Primates","Mammalia",FALSE,NA,FALSE,1,24,"No Genome",NA,TRUE,FALSE
"Nanger dama","Nanger dama","CRITICALLY ENDANGERED",14,"Mammalia","67940","Nanger dama","mNanDam","Nanger","Bovidae","Artiodactyla","Mammalia",FALSE,NA,TRUE,7,37,"Scaffold",3403440000,TRUE,FALSE
"Aepyceros melampus","Aepyceros melampus","LEAST CONCERN",8,"Mammalia","9897","Aepyceros melampus","mAepMel","Aepyceros","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,4,37,"Scaffold",4586820000,TRUE,FALSE
"Hexaprotodon liberiensis","Hexaprotodon liberiensis","ENDANGERED",1,"Mammalia","56798","Hexaprotodon liberiensis","mHexLib","Hexaprotodon","Hippopotamidae","Artiodactyla","Mammalia",FALSE,NA,TRUE,1,37,"Chromosome",3041580000,TRUE,TRUE
"Oryx gazella","Oryx gazella","LEAST CONCERN",1,"Mammalia","9958","Oryx gazella","mOryGaz","Oryx","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Scaffold",3892440000,TRUE,FALSE
"Giraffa camelopardalis","Giraffa camelopardalis","VULNERABLE",2,"Mammalia","9894","Giraffa camelopardalis","mGirCam","Giraffa","Giraffidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,2,37,"Scaffold",2709060000,TRUE,FALSE
"Lama guanicoe","Lama guanicoe","LEAST CONCERN",3,"Mammalia","9840","Lama guanicoe","mLamGua","Lama","Camelidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,2,37,"Scaffold",3139380000,TRUE,FALSE
"Connochaetes taurinus","Connochaetes taurinus","LEAST CONCERN",1,"Mammalia","9927","Connochaetes taurinus","mConTau","Connochaetes","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Scaffold",3853320000,TRUE,FALSE
"Camelus bactrianus","Camelus bactrianus","CRITICALLY ENDANGERED",2,"Mammalia","9837","Camelus bactrianus","mCamBac","Camelus","Camelidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,2,37,"Scaffold",2577030000,TRUE,FALSE
"Tragelaphus eurycerus","Tragelaphus eurycerus","NEAR THREATENED",2,"Mammalia","69297","Antilope eurycerus","mTraEur","Tragelaphus","Bovidae","Artiodactyla","Mammalia",FALSE,NA,TRUE,1,37,"Contig",3853320000,TRUE,FALSE
"Sus scrofa","Sus scrofa","LEAST CONCERN",1,"Mammalia","9823","Sus scrofa","mSusScr","Sus","Suidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Chromosome",2885100000,TRUE,FALSE
"Oryx dammah","Oryx dammah","EXTINCT IN THE WILD",3,"Mammalia","59534","Oryx dammah","mOryDam","Oryx","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,2,37,"Scaffold",3892440000,TRUE,FALSE
"Rangifer tarandus","Rangifer tarandus","VULNERABLE",3,"Mammalia","9870","Rangifer tarandus","mRanTar","Rangifer","Cervidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,3,37,"Scaffold",3334980000,TRUE,FALSE
"Capra hircus","Capra hircus","NA",3,"Mammalia","9925","African dwarf goats","mCapHir","Capra","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,2,37,"Chromosome",3168720000,TRUE,FALSE
"Elaphurus davidianus","Elaphurus davidianus","EXTINCT IN THE WILD",4,"Mammalia","43332","Elaphurus davidianus","mElaDav","Elaphurus","Cervidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,4,37,"Scaffold",3168720000,TRUE,FALSE
"Beatragus hunteri","Beatragus hunteri","CRITICALLY ENDANGERED",1,"Mammalia","59527","Damaliscus hunteri","mBeaHun","Beatragus","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Scaffold",3853320000,TRUE,FALSE
"Bos grunniens","Bos grunniens","VULNERABLE",2,"Mammalia","30521","Bos bunnelli","mBosGru","Bos","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,2,37,"Chromosome",3569700000,TRUE,TRUE
"Ovis aries musimon","Ovis aries","NA",3,"Mammalia","9940","Ovis laristanica","mOviAri","Ovis","Bovidae","Artiodactyla","Mammalia",FALSE,NA,TRUE,3,37,"Chromosome",3227400000,TRUE,FALSE
"Bison bison","Bison bison","NEAR THREATENED",3,"Mammalia","9901","Bison bison septemtrionalis","mBisBis","Bison","Bovidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Scaffold",4792200000,TRUE,FALSE
"Hippopotamus amphibius","Hippopotamus amphibius","VULNERABLE",1,"Mammalia","9833","Hippopotamus incognitus","mHipAmp","Hippopotamus","Hippopotamidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Chromosome",3041580000,TRUE,TRUE
"Tursiops truncatus","Tursiops truncatus","LEAST CONCERN",1,"Mammalia","9739","Tursio compressicauda","mTurTru","Tursiops","Delphinidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Chromosome",3080700000,TRUE,FALSE
"Delphinapterus leucas","Delphinapterus leucas","LEAST CONCERN",1,"Mammalia","9749","Delphinus vermontana","mDelLeu","Delphinapterus","Monodontidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Scaffold",3217620000,TRUE,FALSE
"Megaptera novaeangliae","Megaptera novaeangliae","LEAST CONCERN",1,"Mammalia","9773","Rorqualus australis","mMegNov","Megaptera","Balaenopteridae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Scaffold",2865540000,TRUE,FALSE
"Delphinus delphis","Delphinus delphis","LEAST CONCERN",1,"Mammalia","9728","Delphinus vulgaris","mDelDel","Delphinus","Delphinidae","Artiodactyla","Mammalia",FALSE,NA,TRUE,0,37,"Chromosome",3080700000,TRUE,FALSE
"Muntiacus reevesi","Muntiacus reevesi","LEAST CONCERN",1,"Mammalia","9886","Muntiacus reevesi","mMunRee","Muntiacus","Cervidae","Artiodactyla","Mammalia",TRUE,NA,TRUE,1,37,"Chromosome",2924220000,TRUE,TRUE
"Phacochoerus africanus","Phacochoerus africanus","LEAST CONCERN",4,"Mammalia","41426","Sus africanus","mPhaAfr","Phacochoerus","Suidae","Artiodactyla","Mammalia",FALSE,NA,TRUE,4,37,"Chromosome",2885100000,TRUE,TRUE
"Gazella dorcas","Gazella dorcas","VULNERABLE",9,"Mammalia",NA,"Gazella dorcas",NA,"Gazella","Bovidae","Artiodactyla","Mammalia",FALSE,NA,FALSE,6,37,"No Genome",NA,FALSE,FALSE
"Ammotragus lervia fassini","Ammotragus lervia","VULNERABLE",4,"Mammalia",NA,"Ammotragus lervia",NA,"Ammotragus","Bovidae","Artiodactyla","Mammalia",FALSE,NA,FALSE,3,37,"No Genome",NA,FALSE,FALSE
"Gazella cuvieri","Gazella cuvieri","VULNERABLE",1,"Mammalia",NA,"Gazella cuvieri",NA,"Gazella","Bovidae","Artiodactyla","Mammalia",FALSE,NA,FALSE,1,37,"No Genome",NA,FALSE,FALSE
"Tragelaphus spekii","Tragelaphus spekii","LEAST CONCERN",2,"Mammalia","69297","Tragelaphus spekii","mTraEur","Tragelaphus","Bovidae","Artiodactyla","Mammalia",FALSE,"species",TRUE,1,37,"Contig",3853320000,TRUE,FALSE
"Bison bonasus","Bison bonasus","NEAR THREATENED",3,"Mammalia","9901","Bison europaeus","mBisBis","Bison","Bovidae","Artiodactyla","Mammalia",FALSE,"species",TRUE,3,37,"Scaffold",4792200000,TRUE,FALSE
"Connochaetes gnou","Connochaetes gnou","LEAST CONCERN",1,"Mammalia","9927","Connochaetes gnou","mConTau","Connochaetes","Bovidae","Artiodactyla","Mammalia",FALSE,"species",TRUE,2,37,"Scaffold",3853320000,TRUE,FALSE
"Axis axis","Axis axis","LEAST CONCERN",1,"Mammalia","57737","Axis axis","mAxiPor","Axis","Cervidae","Artiodactyla","Mammalia",FALSE,"species",TRUE,1,37,"Scaffold",3168720000,TRUE,FALSE
"Dama dama","Dama dama","LEAST CONCERN",1,"Mammalia",NA,"Cervus plinii",NA,"Dama","Cervidae","Artiodactyla","Mammalia",FALSE,NA,FALSE,1,37,"No Genome",NA,FALSE,FALSE
"Potamochoerus porcus","Potamochoerus porcus","LEAST CONCERN",2,"Mammalia",NA,"Potamochoerus porcus",NA,"Potamochoerus","Suidae","Artiodactyla","Mammalia",FALSE,NA,FALSE,2,37,"No Genome",NA,FALSE,FALSE
"Capra pyrenaica hispanica","Capra pyrenaica","LEAST CONCERN",1,"Mammalia","9923","Capra pyrenaica lusitanica","mCapAeg","Capra","Bovidae","Artiodactyla","Mammalia",FALSE,"species",TRUE,1,37,"Chromosome",3163830000,TRUE,FALSE
"Alytes muletensis","Alytes muletensis","ENDANGERED",4,"Amphibia",NA,"Alytes muletensis",NA,"Alytes","Alytidae","Anura","Amphibia",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Agalychnis callidryas","Agalychnis callidryas","LEAST CONCERN",1,"Amphibia",NA,"Agalychnis callidryas",NA,"Agalychnis","Hylidae","Anura","Amphibia",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Ambystoma mexicanum","Ambystoma mexicanum","CRITICALLY ENDANGERED",1,"Amphibia","8296","Ambystoma mexicanum","aAmbMex","Ambystoma","Ambystomatidae","Caudata","Amphibia",FALSE,NA,TRUE,0,3,"Chromosome",34719000000,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi","CRITICALLY ENDANGERED",5,"Amphibia",NA,"Calotriton arnoldi",NA,"Calotriton","Salamandridae","Caudata","Amphibia",FALSE,NA,FALSE,0,3,"No Genome",NA,FALSE,FALSE
"Salmo salar","Salmo salar","LEAST CONCERN",2,"Fish","8030","Salmo salar europaeus","fSalSal","Salmo","Salmonidae","Salmoniformes","Actinopteri",FALSE,NA,TRUE,0,1,"Chromosome",3031800000,FALSE,FALSE
"Sargocentron diadema","Sargocentron diadema","LEAST CONCERN",1,"Fish",NA,"Holocentrum diadema",NA,"Sargocentron","Holocentridae","Holocentriformes","Actinopteri",FALSE,NA,FALSE,0,1,"No Genome",NA,FALSE,FALSE
"Engraulis encrasicolus","Engraulis encrasicolus","LEAST CONCERN",1,"Fish",NA,"? encrasicholus",NA,"Engraulis","Engraulidae","Clupeiformes","Actinopteri",FALSE,NA,FALSE,0,1,"No Genome",NA,FALSE,FALSE
"Diplodus vulgaris","Diplodus vulgaris","LEAST CONCERN",1,"Fish",NA,"Sargus salviani",NA,"Diplodus","Sparidae","Spariformes","Actinopteri",FALSE,NA,FALSE,0,1,"No Genome",NA,FALSE,FALSE
"Carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos","ENDANGERED",1,"Fish",NA,"? amblyrhynchus",NA,"Carcharhinus","Carcharhinidae","Carcharhiniformes","Chondrichthyes",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Scyliorhinus stellaris","Scyliorhinus stellaris","VULNERABLE",1,"Fish",NA,"Squalus stellaris",NA,"Scyliorhinus","Scyliorhinidae","Carcharhiniformes","Chondrichthyes",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Hippocampus abdominalis","Hippocampus abdominalis","LEAST CONCERN",2,"Fish","109274","Hippocampus bleekeri","fHipAbd","Hippocampus","Syngnathidae","Syngnathiformes","Actinopteri",FALSE,NA,TRUE,0,3,"Chromosome",567240000,FALSE,FALSE
"Ginglymostoma cirratum","Ginglymostoma cirratum","VULNERABLE",1,"Fish","7801","Ginglimostoma cirratum","sGinCir","Ginglymostoma","Ginglymostomatidae","Orectolobiformes","Chondrichthyes",FALSE,NA,TRUE,0,3,"Scaffold",3814200000,FALSE,FALSE
"Chiloscyllium punctatum","Chiloscyllium punctatum","NEAR THREATENED",1,"Fish","137246","Chiloscyllium margaritiferum","sChiPun","Chiloscyllium","Hemiscylliidae","Orectolobiformes","Chondrichthyes",FALSE,NA,TRUE,0,3,"Scaffold",4459680000,FALSE,FALSE
"Hemiscyllium ocellatum","Hemiscyllium ocellatum","LEAST CONCERN",1,"Fish","170820","Squalus oculatus","sHemOce","Hemiscyllium","Hemiscylliidae","Orectolobiformes","Chondrichthyes",FALSE,NA,TRUE,0,3,"Chromosome",5388780000,FALSE,FALSE
"Syngnathus acus","Syngnathus acus","LEAST CONCERN",1,"Fish","161584","Syngnathus acus","fSynAcu","Syngnathus","Syngnathidae","Syngnathiformes","Actinopteri",FALSE,NA,TRUE,0,3,"Chromosome",533010000,FALSE,FALSE
"Hippocampus reidi","Hippocampus reidi","NEAR THREATENED",2,"Fish",NA,"Hippocampus reidi",NA,"Hippocampus","Syngnathidae","Syngnathiformes","Actinopteri",FALSE,NA,FALSE,0,3,"No Genome",NA,FALSE,FALSE
"Paleosuchus palpebrosus","Paleosuchus palpebrosus","LEAST CONCERN",1,"Reptil",NA,"Alligator palpebrosus",NA,"Paleosuchus","Alligatoridae","Crocodylia",NA,FALSE,NA,FALSE,0,3,"No Genome",NA,FALSE,FALSE
"Aldabrachelys gigantea","Aldabrachelys gigantea","VULNERABLE",1,"Reptil","167804","Testudo daudinii","rAldGig","Aldabrachelys","Testudinidae","Testudines",NA,FALSE,NA,TRUE,0,8,"Chromosome",2889990000,FALSE,FALSE
"Caretta caretta","Caretta caretta","VULNERABLE",2,"Reptil","8467","Caouana elongata","rCarCar","Caretta","Cheloniidae","Testudines",NA,FALSE,NA,TRUE,2,8,"Chromosome",2581920000,FALSE,FALSE
"Terrapene nelsoni","Terrapene nelsoni","NA",2,"Reptil",NA,"Terrapene nelsoni nelsoni",NA,"Terrapene","Emydidae","Testudines",NA,FALSE,NA,FALSE,0,8,"No Genome",NA,FALSE,FALSE
"Stigmochelys pardalis","Stigmochelys pardalis","LEAST CONCERN",1,"Reptil",NA,"Testudo bipunctata",NA,"Stigmochelys","Testudinidae","Testudines",NA,FALSE,NA,FALSE,0,8,"No Genome",NA,FALSE,FALSE
"Testudo hermanni hermanni","Testudo hermanni","ENDANGERED",1,"Reptil",NA,"Eurotestudo hermanni",NA,"Testudo","Testudinidae","Testudines",NA,FALSE,NA,FALSE,0,8,"No Genome",NA,FALSE,FALSE
"Heosemys spinosa","Heosemys spinosa","ENDANGERED",1,"Reptil",NA,"Heosemys spinosa",NA,"Heosemys","Geoemydidae","Testudines",NA,FALSE,NA,FALSE,0,8,"No Genome",NA,FALSE,FALSE
"Macrochelys temminckii","Macrochelys temminckii","VULNERABLE",2,"Reptil",NA,"Chelonura temminckii",NA,"Macrochelys","Chelydridae","Testudines",NA,FALSE,NA,FALSE,0,8,"No Genome",NA,FALSE,FALSE
"Furcifer pardalis","Furcifer pardalis","LEAST CONCERN",1,"Reptil","187939","Furcifer pardalis","rFurPar","Furcifer","Chamaeleonidae","Squamata","Lepidosauria",FALSE,NA,TRUE,0,13,"Chromosome",2449889999,FALSE,FALSE
"Eublepharis macularius","Eublepharis macularius","LEAST CONCERN",1,"Reptil","481883","Eublepharis macularius","rEubMac","Eublepharis","Eublepharidae","Squamata","Lepidosauria",FALSE,NA,TRUE,0,13,"Chromosome",2405880000,FALSE,FALSE
"Uromastyx acanthinura","Uromastyx acanthinura","NEAR THREATENED",1,"Reptil",NA,"Uromastyx acanthinura",NA,"Uromastyx","Agamidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Python regius","Python regius","LEAST CONCERN",1,"Reptil",NA,"Shireenhoserus regia",NA,"Python","Pythonidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Lampropeltis triangulum sinaloae","Lampropeltis triangulum","LEAST CONCERN",1,"Reptil",NA,"Ablabes triangulum",NA,"Lampropeltis","Colubridae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Corucia zebrata","Corucia zebrata","NEAR THREATENED",1,"Reptil",NA,"Corucia zebrata",NA,"Corucia","Scincidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Python breitensteini","Python breitensteini","LEAST CONCERN",1,"Reptil",NA,"Python curtus breitensteini",NA,"Python","Pythonidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Acrantophis dumerili","Acrantophis dumerili","LEAST CONCERN",1,"Reptil",NA,"Acrantophis dumerili",NA,"Acrantophis","Boidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Falco naumanni","Falco naumanni","LEAST CONCERN",2,"Birds","148594","Cerchneis naumanni","bFalNau","Falco","Falconidae","Falconiformes","Aves",FALSE,NA,TRUE,0,1,"Chromosome",1403430000,FALSE,FALSE
"Dromaius novaehollandiae","Dromaius novaehollandiae","LEAST CONCERN",1,"Birds","8790","Dromaius gracilipes","bDroNov","Dromaius","Dromaiidae","Casuariiformes","Aves",FALSE,NA,TRUE,0,2,"Scaffold",1555020000,FALSE,FALSE
"Halcyon malimbica","Halcyon malimbica","LEAST CONCERN",1,"Birds","170866","Halcyon malimbica","bHalMal","Halcyon","Alcedinidae","Coraciiformes","Aves",FALSE,NA,TRUE,0,2,"Scaffold",1545240000,FALSE,FALSE
"Phoenicopterus ruber","Phoenicopterus ruber","LEAST CONCERN",1,"Birds","9217","Phoenicopterus roseus","bPhoRub","Phoenicopterus","Phoenicopteridae","Phoenicopteriformes","Aves",FALSE,NA,TRUE,0,2,"Chromosome",1354530000,FALSE,FALSE
"Apus pallidus","Apus pallidus","LEAST CONCERN",3,"Birds","8895","Apus pallidus","bApuApu","Apus","Apodidae","Apodiformes","Aves",FALSE,"species",TRUE,0,2,"Chromosome",1251840000,FALSE,FALSE
"Dacelo novaeguineae","Dacelo novaeguineae","LEAST CONCERN",1,"Birds",NA,"Dacelo novaeguineae",NA,"Dacelo","Alcedinidae","Coraciiformes","Aves",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Phoenicopterus roseus","Phoenicopterus roseus","LEAST CONCERN",1,"Birds",NA,"Phoenicopterus antiquorum",NA,"Phoenicopterus","Phoenicopteridae","Phoenicopteriformes","Aves",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Trachyphonus erythrocephalus","Trachyphonus erythrocephalus","LEAST CONCERN",1,"Birds",NA,"Trachyphonus erythrocephalus",NA,"Trachyphonus","Lybiidae","Piciformes","Aves",FALSE,NA,FALSE,0,2,"No Genome",NA,FALSE,FALSE
"Parabuteo unicinctus","Parabuteo unicinctus","LEAST CONCERN",1,"Birds","223492","Parabuteo unicinctus","bParUni","Parabuteo","Accipitridae","Accipitriformes","Aves",FALSE,NA,TRUE,0,3,"Scaffold",1398540000,FALSE,FALSE
"Accipiter gentilis","Accipiter gentilis","LEAST CONCERN",1,"Birds","8957","Falco palumbarius","bAccGen","Accipiter","Accipitridae","Accipitriformes","Aves",FALSE,NA,TRUE,0,3,"Chromosome",1305630000,FALSE,FALSE
"Tauraco erythrolophus","Tauraco erythrolophus","LEAST CONCERN",1,"Birds","121530","Tauraco erythrolophus","bTauEry","Tauraco","Musophagidae","Musophagiformes","Aves",FALSE,NA,TRUE,0,3,"Scaffold",1396095000,FALSE,FALSE
"Tauraco leucotis","Tauraco leucotis","LEAST CONCERN",1,"Birds",NA,"Corythaix leucotis",NA,"Tauraco","Musophagidae","Musophagiformes","Aves",FALSE,NA,FALSE,0,3,"No Genome",NA,FALSE,FALSE
"Eurypyga helias","Eurypyga helias","LEAST CONCERN",1,"Birds","54383","Eurypyga helias","bEurHel","Eurypyga","Eurypygidae","Gruiformes","Aves",FALSE,NA,TRUE,0,4,"Scaffold",1388760000,FALSE,FALSE
"Bubo scandiacus","Bubo scandiacus","VULNERABLE",1,"Birds","371907","Bubo scandiacus","bBubSca","Bubo","Strigidae","Strigiformes","Aves",FALSE,NA,TRUE,0,4,"Scaffold",1643040000,FALSE,FALSE
"Gallinula chloropus","Gallinula chloropus","LEAST CONCERN",2,"Birds",NA,"Fulica spec",NA,"Gallinula","Rallidae","Gruiformes","Aves",FALSE,NA,FALSE,0,4,"No Genome",NA,FALSE,FALSE
"Balearica pavonina","Balearica pavonina","VULNERABLE",1,"Birds","925459","Balearica pavonina","bBalReg","Balearica","Gruidae","Gruiformes","Aves",FALSE,"species",TRUE,0,4,"Scaffold",1418100000,FALSE,FALSE
"Strix aluco","Strix aluco","LEAST CONCERN",1,"Birds",NA,"Strix aluco",NA,"Strix","Strigidae","Strigiformes","Aves",FALSE,NA,FALSE,0,4,"No Genome",NA,FALSE,FALSE
"Anas platyrhynchos","Anas platyrhynchos","LEAST CONCERN",1,"Birds","8839","Anas oustaleti","bAnaPla","Anas","Anatidae","Anseriformes","Aves",FALSE,NA,TRUE,0,7,"Chromosome",1418100000,FALSE,FALSE
"Columba livia","Columba livia","LEAST CONCERN",1,"Birds","8932","Columba domestica","bColLiv","Columba","Columbidae","Columbiformes","Aves",FALSE,NA,TRUE,0,7,"Scaffold",1442550000,FALSE,FALSE
"Caloenas nicobarica","Caloenas nicobarica","NEAR THREATENED",1,"Birds","187106","Caloenas nicobarica","bCalNic","Caloenas","Columbidae","Columbiformes","Aves",FALSE,NA,TRUE,0,7,"Scaffold",1506120000,FALSE,FALSE
"Marmaronetta angustirostris","Marmaronetta angustirostris","VULNERABLE",1,"Birds",NA,"Marmaronetta angustirostris",NA,"Marmaronetta","Anatidae","Anseriformes","Aves",FALSE,NA,FALSE,0,7,"No Genome",NA,FALSE,FALSE
"Netta peposaca","Netta peposaca","LEAST CONCERN",1,"Birds","219594","Netta peposaca","bAytFul","Netta","Anatidae","Anseriformes","Aves",FALSE,"species",TRUE,0,7,"Chromosome",1349640000,FALSE,FALSE
"Columba palumbus","Columba palumbus","LEAST CONCERN",1,"Birds",NA,"Columba palumbus",NA,"Columba","Columbidae","Columbiformes","Aves",FALSE,NA,FALSE,0,7,"No Genome",NA,FALSE,FALSE
"Lamprotornis superbus","Lamprotornis superbus","LEAST CONCERN",1,"Birds","245042","Spreo superbus","bLamSup","Lamprotornis","Sturnidae","Passeriformes","Aves",FALSE,NA,TRUE,0,9,"Chromosome",1193160000,FALSE,FALSE
"Hirundo rustica","Hirundo rustica","LEAST CONCERN",1,"Birds","43150","Chelidon rustica","bHirRus","Hirundo","Hirundinidae","Passeriformes","Aves",FALSE,NA,TRUE,0,9,"Chromosome",1281180000,FALSE,FALSE
"Ficedula hypoleuca","Ficedula hypoleuca","LEAST CONCERN",1,"Birds","59894","Ficedula hypoleuca","bFicAli","Ficedula","Muscicapidae","Passeriformes","Aves",FALSE,"species",TRUE,0,9,"Chromosome",1234725000,FALSE,FALSE
"Chloris chloris","Chloris chloris","LEAST CONCERN",1,"Birds",NA,"Chloris chloris",NA,"Chloris","Fringillidae","Passeriformes","Aves",FALSE,NA,FALSE,0,9,"No Genome",NA,FALSE,FALSE
"Delichon urbicum","Delichon urbicum","LEAST CONCERN",1,"Birds",NA,"Delichon urbicum",NA,"Delichon","Hirundinidae","Passeriformes","Aves",FALSE,NA,FALSE,0,9,"No Genome",NA,FALSE,FALSE
"Carduelis carduelis","Carduelis carduelis","LEAST CONCERN",1,"Birds",NA,"Carduelis carduelis",NA,"Carduelis","Fringillidae","Passeriformes","Aves",FALSE,NA,FALSE,0,9,"No Genome",NA,FALSE,FALSE
"Lanius senator","Lanius senator","LEAST CONCERN",1,"Birds",NA,"Lanius senator",NA,"Lanius","Laniidae","Passeriformes","Aves",FALSE,NA,FALSE,0,9,"No Genome",NA,FALSE,FALSE
"Cyanocorax yncas","Cyanocorax yncas","LEAST CONCERN",1,"Birds",NA,"Cyanocorax yncas",NA,"Cyanocorax","Corvidae","Passeriformes","Aves",FALSE,NA,FALSE,0,9,"No Genome",NA,FALSE,FALSE
"Platalea ajaja","Platalea ajaja","LEAST CONCERN",1,"Birds",NA,"Platalea ajaja",NA,"Platalea","Threskiornithidae","Pelecaniformes","Aves",FALSE,NA,FALSE,0,10,"No Genome",NA,FALSE,FALSE
"Ixobrychus minutus","Ixobrychus minutus","LEAST CONCERN",1,"Birds",NA,"Ixobrychus minutus",NA,"Ixobrychus","Ardeidae","Pelecaniformes","Aves",FALSE,NA,FALSE,0,10,"No Genome",NA,FALSE,FALSE
"Amazona autumnalis","Amazona autumnalis","CRITICALLY ENDANGERED",2,"Birds","151759","Amazona autumnalis","bAmaAut","Amazona","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,0,13,"Scaffold",1476780000,FALSE,FALSE
"Amazona aestiva","Amazona aestiva","NEAR THREATENED",1,"Birds","12930","Amazona aestiva","bAmaAes","Amazona","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,0,13,"Chromosome",1574580000,FALSE,FALSE
"Ara rubrogenys","Ara rubrogenys","CRITICALLY ENDANGERED",1,"Birds","467030","Ara rubrogenys","bAraRub","Ara","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,0,13,"Scaffold",1374090000,FALSE,FALSE
"Amazona brasiliensis","Amazona brasiliensis","NEAR THREATENED",1,"Birds",NA,"Amazona brasiliensis",NA,"Amazona","Psittacidae","Psittaciformes","Aves",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
"Artibeus jamaicensis","Artibeus jamaicensis","LEAST CONCERN",1,"Mammalia","9417","Artibeus jamaicensis","mArtJam","Artibeus","Phyllostomidae","Chiroptera","Mammalia",TRUE,NA,TRUE,0,2,"Scaffold",2591700000,FALSE,FALSE
"Erinaceus europaeus","Erinaceus europaeus","LEAST CONCERN",1,"Mammalia","9365","Erinaceus europaeus","mEriEur","Erinaceus","Erinaceidae","Eulipotyphla","Mammalia",TRUE,NA,TRUE,0,2,"Scaffold",3579480000,FALSE,FALSE
