cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person,fibros,vials_n2,pellet,micoplasma_test,DNA,comment
A438,1/23/2023,Enducimus ruber,Zoo Barcelona,MIG12-28706348,traquea,2CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A447,2/24/2023,Nanger dama mhorr,Zoo Barcelona,MIG12-29320182,ear,2 CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A451,3/23/2023,Valencia hispanica,ERGA,-,fin,"in culture, 4 CT",A: L15 +20%FBS +P/S  and DMEM high glucose +2%CS + P/S (explant and liberase 0.125 mg/ml) + on gelatin and FBM 28.5C,silvia,No vials N2,NA,NA,NA,NA,NA
A456,4/21/2023,Gazella dorcas,Zoo Barcelona,QGH2306333-IA,ear,2CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A457,4/25/2023,Panda rojo,Zoo Barcelona,QGH13-01156,ear,2CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A465,6/19/2023,Gazela dorcas,Zoo Barcelona,QGH23-06339,ear,2 CT,NA,Silvia,No vials N2,NA,NA,NA,NA,NA
A476,NA,NA,NA,NA,NA,NA,NA,NA,No vials N2,NA,NA,NA,NA,NA
A275,2/21/2022,Elephant,BCN zoo,NA,durezas pie,"in culture, 4CT",alphamem complete +20 ng/ml FGF2,Silvia,No SUCCESS,NA,NA,NA,NA,NA
A277,3/2/2022,Lophocebus aterrimus,RIO SAFARI ELCHE,MIG12-28090305/ELCHE SAF / 1337,skin,"In culture, 0 CT",alphamem complete +20 ng/ml FGF2,silvia,No SUCCESS,NA,NA,NA,NA,NA
A351,6/28/2022,Ambystoma mexicanum,Aquarium San Sebastian,NA,"Body, higado, aletas","in culture,3CT",AMEM (MEM + 10%FBS +P/S + Lglut  + ITS),silvia,No SUCCESS,He tirado la placa porque no crecia nada ni a room temperature,NA,NA,NA,NA
A363,7/18/2022,Lampropelis triangulum sinaloae,Zoo Barcelona,1.80E+07,Traquea,"in culture,2CT",DMEMF12+10%FBS +glut + NEAA +AA +PS (37grados),silvia,No SUCCESS,NA,NA,NA,NA,NA
A364,7/18/2022,Calotriton arnoldi,Zoo Barcelona,QGH21-05744,Traquea,"in culture,1CT",DMEMF12+10%FBS +glut + NEAA +AA +PS (37grados),silvia,No SUCCESS,NA,NA,NA,NA,NA
A383,8/19/2022,Amazona brasiliensis,Zoo Barcelona,MIG12-21379186/BARCELONA / 10462,Traquea/Lungs,"in culture, 4CT",alphamem complete 12/09 on matrigel,sira,No SUCCESS,NA,NA,NA,NA,NA
A387,8/31/2022,Falco naumanni,Zoo Madrid,WKP22-01969/MADRID Z / CEP38,Traquea/skin,"in culture, 3CT",FBM:alphamem 12/09 on matrigel,Sira,No SUCCESS,NA,NA,NA,NA,NA
A389,9/5/2022,Plegadis falcinellus,Zoo Barcelona,MIG12-28824985,Traquea,"in culture, 2CT",FBM:alphamem,silvia,No SUCCESS,NA,NA,NA,NA,NA
A430,12/14/2022,"Penguino ""brookling""",Zoo de madrid,WKP13-00159/MADRID Z / PJ61,skin,in culture 3 CT,high glucose,silvia,No SUCCESS,NA,NA,NA,NA,NA
A436,1/10/2023,Myrmecophaga tridactyla,Zoo de Madrid,26855739/MADRID Z / OH4,placenta,"in culture, 3CT",alphamem,silvia,No SUCCESS,NA,NA,NA,NA,NA
A449,3/13/2023,Otus scops scops,Zoo Barcelona,MIG12-28179174,Traquea,"in culture, 1 CT",FBM on Mg,silvia,No SUCCESS,NA,NA,NA,NA,NA
A455,4/18/2023,Falco naumanni,Zoo Madrid,WKP22-01966/MADRID Z / CEP35,Piel,"in culture, ·CT",Alphamem : FMB on well with gelatin and on other with matrigel / 4 wells w/o coating),silvia,No SUCCESS,NA,pellet para DNA,NA,NA,NA
A458,4/25/2023,Ara ararauna,Zoo Madrid,WKP15-00490/MADRID Z / GAZ55,"piel , Traquea","in culture, 1 CT traquea 3CT piel",FMB on Mg and on Gel,silvia,No SUCCESS,NA,PELLET PARA DNA,NA,NA,NA
A373,8/5/2022,Aonyx cinereus ( Nutria asiatica),MondoMar,MIG12-29553818,testiculos,"in culture, 2CT",alphamem complete,Silvia,No SUCCESS,NA,NA,negative,NA,NA
A473,7/24/2023,Malpolon Monspessulanus,ERGA,Salvi,"traquea , skin , riñon","in culture, 4 CT (2traquea +2skin)",FBM on gelatin 28.5C,silvia,probably fibros from traquea,NA,NA,NA,NA,NA
A318,5/17/2022,Pongo pugmaeus pygmaeus (orangu),Zoo Barcelona,MIG12-30088890/5671,Placenta,"in culture,1CT",alphamem complete,Silvia,Re- try samples (SILVIA),3P0 4P1 3P2,si,Negative,NA,NA
A347,6/21/2022,sanguinus oedipus,Zoo Barcelona,QGH22-06117-IA,ear,"in culture,0CT",alphamem complete,silvia,Re- try samples (SILVIA),NA,si,NA,NA,NA
A361,7/13/2022,Crocodrylus rombifer,Zoo Barcelona,AP22-222/5277,traquea,"in culture,3CT",DMEMF12+10%FBS +glut + NEAA +AA +PS on gelatin  (37grados),silvia,Re- try samples (SILVIA),3P0 4 P1,si,NA,NA,NA
A274,2/21/2022,Papion,ZOO de Madrid,NA,skin,"in culture, 2CT",alphamem complete,Sira/Silvia,si,"1 P0, 1 P1 and 2 P2",si,NA,si,NA
A279,3/5/2022,Pteropus lylei (Zorro Volador),Zoo Barcelona,MIG12-29239579,Ear,"in culture, 1 CT",DMEMF12 + 20% FBS,silvia,si,1 P0 2P1 2P2,NA,NA,NA,NA
A280,3/5/2022,Aepyceros melapus petersi (Impala),Zoo Barcelona,QGH20-05395,skin,"in culture, 2 CT",alphamem complete,silvia,si,1 P0 2 P1 2P2,NA,NA,NA,NA
A282,3/8/2022,Mono araña,Zoo barcelona,MIG12-29017598/BARCELONA / 11694,Placenta,"in culture, 1CT",alphamem complete on Gelatin 0.1%,silvia,si,2 P0 2 P1 1P2 2P3 1P4,si,Negative,NA,NA
A283,3/11/2022,Gazella dorcas,Zoo Barcelona,QGH16-04140,Ear,"in culture, 1CT",alphamem complete,silvia,si,2 P0 2P1 2P2,NA,NA,NA,NA
A284,3/15/2022,Dama dama,Zoo Madrid,MIG12-29480644/MADRID Z / GAM53,Skin and ovario,"in culture, 1CT",alphamem complete,silvia,si,"2 P0,P1 and P2 from ovario, 2P0, 2P1 and 2P2 from skin",NA,NA,NA,NA
A286,3/16/2022,Conejo,Zoo Madrid,---,skin,"in culture, 1CT",alphamem complete,silvia,si,2 P0 2 P1 2 P2,si,NA,NA,NA
A287,3/23/2022,Mangabey ( Cercocebus torquatus),Zoo Barcelona,5724123 Barcelona/9381,skin,"in culture, 1CT",on gelatin FBM,silvia,si,2P4,NA,negative,NA,NA
A288,3/23/2022,Phacochoerus africanus,Zoo Barcelona,MIG12-29239592,skin,"in culture, 1CT",alphamem complete,silvia,si,2 P0 1 P1,si,NA,NA,NA
A289,3/23/2022,Phacochoerus africanus,Zoo Barcelona,2.62E+07,skin,"in culture, 1CT",alphamem complete,silvia,si,2 P0 1 P1,si,NA,NA,NA
A291,3/31/2022,Canguro de Bennet Macropus rufogriseus,Zoo Jerez,FRW15-00528/JEREZCA56,skin,"in culture, 1CT",alphamem complete,silvia,si,2 P0 2P1,NA,NA,NA,NA
A292,3/31/2022,Canguro (cria),Zoo Jerez,FRW22-01290/ JEREZCA71,skin,"in culture, 1CT",alphamem complete,silvia,si,2 P0 2 P1 2P2,NA,NA,NA,NA
A294,4/6/2022,Clamidosaurus kingii,Zoo Barcelona,QGH16-04206,skin,"in culture, 0CT",alphamem complete ( change medium every one day),silvia,si,NA,NA,NA,NA,a hacer el split no se han enganchado
A295 (=A2),4/7/2022,Canis lupus,Zoo Barcelona,MIG12-29349207/13451,skin,"in culture, 5CT",FBM : alphamem complete,silvia,si,3 P0 2P1 2P2 2P3,si,NA,NA,NA
A296,4/9/2022,Leon,Bioparc Valencia,NA,skin,"in culture, 1CT",FBM : alphamem complete,silvia,si,2 P0 2P1,si,NA,NA,NA
A297,4/12/2022,Gallus gallus domestic,Zoo de Madrid,WKP15-00483/MADRID Z / GALL1,skin,"in culture, 1CT",alphamem complete,silvia,si,2P0 2P1 3P2,si,NA,NA,NA
A298,4/12/2022,Hylobates muelleri,Zoo de Madrid,27920039/MADRID Z / GM2,skin,"in culture, 1CT",alphamem complete on gelatin,silvia,si,2P0 2P1 2P2,NA,NA,NA,NA
A301,4/21/2022,Hystrix,Zoo Barcelona,MIG12-29239594/: BARCELONA / 6799,skin,"in culture, 1CT",alphamem complete,silvia,si,2P0 2P1 2P2,si,NA,NA,NA
A302,4/26/2022,Chauna Torquata,Zoo Barcelona,MIG12-28179183,Traquea,"in culture, 1CT",FBM,silvia,si,2P0 3P1 3P2,si,NA,NA,NA
A303,4/26/2022,Scissirostrum dubium,Zoo Barcelona,-,enbryo's wings,"in culture, 1CT",FBM,silvia,si,3 P0 3P1 4P2,NA,NA,NA,NA
A304,4/28/2022,Belluga,Oceanografico,RNV18-00506/OCEAN VAL / Kairo,skin,"in culture, 10CT y 2 falcon",DMEMF12 + P/S+ Sodium Piruvate + NEAA + AA + 15%FBS + l-Glut,Sira/Silvia,si,"2P0 2P1 whole w/o coating 1P0 deep w/o coating , 1P0 mid on colag, 1P0 deep on colag, 2P0 2P1 2P2 on gelatin Mid, 2P2 Whole",si,NA,NA,"Whole sin coating SI fibros, On gelatin solo la parte MID con fibros, On colagen MID and DEEP con fibros"
A305,5/2/2022,Cynomys ludovicianus,Zoo Barcelona,SQK18-04210/BARCELONA13749,skin,"in culture, 1CT",alphamem complete,silvia,si,3 P0 2P1 2P2,si,NA,NA,NA
A306,5/6/2022,Cercocebus lunulatus (=A206),Zoo Barcelona,QGH16-04193/ BARCELONA / 12808,skin,in culture,alphamem complete,silvia,si,1 P0 2P1,si,NA,NA,NA
A307,5/6/2022,Bison Bonasus,Zoo Barcelona,26854224/: BARCELONA / 2123,ear,"in culture, 2CT",alphamem complete,Sira,si,2P0 4P1 3P2,si,NA,NA,NA
A308,5/6/2022,Equus caballus przewalskii,Zoo Botánico Jerez,MQH17-01033/JEREZ / CP13,placenta/umbilical cordon,"in culture, 8CT",alphamem complete,Sira,si,2P1 2P2 1P3,si,negative,NA,NA
A310,5/10/2022,Diplodus vulgaris,Aquarium San Sebastian,NA,aleta caudal,in culture,L15 + 15% FBS +AA +PS and DMEMF12+20%FBS +AA +PS,Sira,si,CONTAMINADO,NA,NA,NA,First fibros 7 days DMEM/F12)
A312,5/10/2022,Scissirostrum dubium,Zoo Barcelona,QGH20-05382/BARCELONA/13680,Traquea,"in culture, 1 CT",FBM : alphamem complete,Sira,si,2P0 2P1 3P2,si,NA,NA,NA
A316,5/12/2022,Platelea ajaja,Zoo Barcelona,MIG12-29661875/BARCELONA/10746,Traquea,"in culture, 2CT",FBM : alphamem complete,Silvia,si,CONTAMINADO,NA,NA,NA,contaminado
A317,5/13/2022,Cygnus atratus,Zoo de Madrid,27919208/27919208,Traquea/SKin,"in culture, 5CT (2 Traquea/1 Skin)",FBM : alphamem complete,Sira,si,2 P0 2P1 traquea,si,NA,NA,NA
A319,5/17/2022,Otus scops scops,Zoo Barcelona,25996946/BARCELONA10374,Traquea,in culture,FBM : alphamem complete,Silvia,si,no seccess,NA,NA,NA,no han crecido despues del pase 0
A321,5/17/2022,Panthera onca,Zoo Barcelona,Panthera onca (same A109),Skin,in culture,BEGM medium for nasal  on gelatin and matri and alphamem for skin,sira/silvia,si,2P1 skin,si,NA,NA,same specimen A217/A109
A322,5/17/2022,Chimpanzee,Zoo Barcelona,MIG12-30088895/4367,"Skin , nasal",in culture,BEGM medium for nasal  On gel and matri and alphamem for skin,Silvia,si,1P0 0P2 from skin,si,Negative,NA,NA
A323,5/20/2022,Colius striatus,Zoo Barcelona,QGH14-02099/BARCELONA / 12241,Traquea,"in culture,1CT",FBM : alphamem complete,Sira,si,2P0 1P1,SI,NA,NA,NA
A325,5/23/2022,Lophura edwardsi,Zoo Barcelona,QGH22-06078-IA,Traquea,"in culture,1CT",FBM : alphamem complete,Silvia,si,1P0 2P1,si,NA,NA,NA
A326,5/23/2022,Nycticorax Nycticorax,Zoo Barcelona,QGH22-06035/BARCELONA/14079,Traquea,"in culture,1CT",FBM : alphamem complete,Silvia,si,2P0,si,NA,NA,NA
A327,5/23/2022,Ateles hybridus,Zoo Barcelona,QGH22-06077,skin,"in culture,1CT",alphamem complete,Silvia,si,3P0,si,NA,NA,NA
A329,5/31/2022,Anodorrhynchus hyacinthinus,Zoo Barcelona,QGH2206092IA,Traquea,in culture,FBM : alphamem complete,Silvia,si,2P0 2P1 2P2,si,NA,NA,NA
A330,5/31/2022,Polyplectron napoleonis,Zoo Barcelona,QGH1604017,Traquea,"in culture,2CT",FBM : alphamem complete,Silvia,si,2P0 2P1 2P2,si,NA,NA,NA
A331,NA,Megaptera novaeangliae (Whale ),Oceanografic Valencia,NA,skin,"in culture, 6CT",DMEM high glucose + 20%FBS + P/S + Lglu + S.Piruv. + NEAA,Silvia,si,5P0 4P1,si,NA,NA,NA
A332,6/3/2022,Ailurus fulgens fulgens,Zoo Madrid,TMJ12-00038/MADRID Z / PR97,"skin , ovario","In culture, 2CTskin 2CTovario",alphamem complete,silvia,si,2P0 2P1 from skin,si,NA,NA,NA
