cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person,fibros,vials_n2,pellet,micoplasma_test,DNA,comment
A403,9/30/2022,Panthera Onca,Elche,RMC17-00249/ELCHE SAF / 1813,Skin,"In culture, 1 CT",Alphamem complete,Silvia,si,2P0 2P1,si,Negative,si,NA
A404,10/3/2022,Ailurus fulgens fulgens ( panda rojo),zoo Barcelona,200092917540/BARCELONA / 10009,Skin,"In culture, 2CT",Alphamem complete,Sílvia,si,2P0 2P1,si,Negative,si,NA
A406,10/5/2022,Gallicolumba luzonica,zoo Barcelona,QGH20-05524/ BARCELONA / 13798,Traquea,in culture,Alphamem complete:FBM,Sira,si,tirado/ contaminacion,NA,NA,NA,NA
A407,10/5/2022,Dacelo novaeguinaea,Zoo Barcelona,MIG12-28802202/BARCELONA / 12619,Traquea,in culture,Alphamem complete:FBM,Sira,si,Contaminado,si,Negative,NA,NA
A411,10/7/2022,Gallicolumba luzonica,Zoo Barcelona,VKM12-05794/barcelona14076,traquea,in culture (1CT),FBM:alphamem,Sira,si,1P0 2P1,si,Negative,NA,NA
A412,10/11/2022,Pteropus lylei,Zoo Barcelona,MIG12-283224384/Barcelona10877,ear,in culture (2CT),FBM:alphamem,Silvia,si,NA,NA,NA,NA,NA
A414,10/11/2022,Otaria byronia,Oceanografic Valencia,?,skin,in culture (2CT),FBM:alphamem,Silvia,si,2P0 2P1,si,negative,si,NA
A295 = A2,10/17/2022,Lobo iberico ( Canis lupus ),Zoo Barcelona,MIG12-29349207/13451,skin,in culture,FBM:alphamem,silvia,si,2p0,si,Negative,si,NA
A416,10/19/2022,Panthera leo,Zoo Barcelona,DKL20-06264/BARCELONA / 13976,Skin,"in culture, 2CT",FBM:alphamem,Sira,si,2P0,si,negative,si,NA
A417,10/19/2022,Panthera leo,Zoo Barcelona,DKL20-06265/:BARCELONA / 13977,skin,in culture,FBM:alphamem,Sira,si,2P0,si,Negative,NA,NA
A418,10/19/2022,Elaphurus davidianus,Zoo Madrid,MIG12-29480578/MADRID Z / CP15,skin,in culture  3CT,alphamem,Sira,si,2P0 2P1,si,Negative,si,NA
A419,10/11/2022,Pteropus lylei,Zoo Barcelona,MIG12-283224384/Barcelona10877,ear,in culture (2CT),FBM:alphamem,Silvia,si,3P0,si,NA,NA,NA
A421,11/8/2022,Polyplectron Napoleonis,Zoo Barcelona,MIG12-28325583,traqua,"in culture, 2CT",FBM:alphamem,silvia,si,2P0,si,negative,NA,NA
A422,11/17/2027,European mink,Zoo de madrid,THV16-02170/MADRID Z / V11,ear,"in culture, 2CT",alphamem,silvia,si,1 P0 2P1,si,negative,si,NA
A423,11/17/2022,Phacochoerus Africanus,Zoo Barcelona,26179436 Barcelona/10958,ear,"in culture, 2CT",alphamem + normocure,silvia,si,2P0,si,negative,NA,NA
A424,11/23/2022,Bos grunniens,Zoo de madrid,27917608/MADRID Z / Y12,skin,"in culture, 4CT",alphamem,silvia,si,2P0 2P1,si,negative,NA,NA
A425,11/23/2022,Aepyceros melampus,Zoo Barcelona,QGH22-06136/BARCELONA / 14160,skin,"in culture, 2CT",alphamem,sira,Si,2 P0,NA,negative,NA,NA
A427,12/7/2026,Eastern bongo,Zoo Barcelona,MIG12-28671173/BARCELONA / 11159,ear,"in culture, 2CT",alphamem,sira,si,2 P0,si,negative,NA,NA
A428,12/12/2022,Osteolaemus tetraspis,Zoo Barcelona,17965110/barcelona 595,traquea,"in culture, 3CT",FBM on gelatin 28.5 C,silvia,si,3P1,NA,NA,NA,NA
A431,12/14/2022,"Penguino ""vicky""",Zoo de Madrid,8297685/ MADRID Z / PJ29,"skin , traquea",in culture 2 CT traquea + 2CT skin,high glucose,silvia,si,3P0 skin,si,negative,NA,NA
