cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A11,13/12/2019,Chimpanzee,BCN ZOO,MIG12-29591105/8890,tissue,freeze,NA,Armida,NA,1 vial,NA,NA,NA,NA,NA
A11,13/12/2019,Chimpanzee,BCN ZOO,MIG12-29591105/8890,tissue,NA,NA,NA,NA,P2 (2vials),NA,NA,NA,NA,NA
A11,13/12/2019,Chimpanzee,BCN ZOO,MIG12-29591105/8890,tissue,NA,NA,NA,NA,P3(1vial),NA,NA,NA,NA,NA
A12,12/2/2020,Giraffa camelopardalis rothschildi,BCN ZOO,MIG12-29591105/8890,placenta post partum,dissection directly on plate,NA,Armida,NA,P0 (3 vials),Pellet for DNA,NEGATIVE @P2,NA,NA,NA
A12,12/2/2020,Giraffa camelopardalis rothschildi,BCN ZOO,MIG12-29591105/8890,placenta post partum,NA,NA,NA,NA,P1 (4 vials),Pellet for RNA,NA,NA,NA,NA
A12,12/2/2020,Giraffa camelopardalis rothschildi,BCN ZOO,MIG12-29591105/8890,placenta post partum,NA,NA,NA,NA,P2 (9 vials),NA,NA,NA,NA,NA
A12,12/2/2020,Giraffa camelopardalis rothschildi,BCN ZOO,MIG12-29591105/8890,placenta post partum,NA,NA,NA,NA,P3 (1vial),NA,NA,NA,NA,NA
A13,20/02/2020,Panthera Leo Bleyenberghi,BCN ZOO,26384182/8891,tissue,dissection directly on plate,NA,Armida,NA,P0  (1 vial),Pellet for DNA,NEGATIVE @P2,done,NA,NA
A13,20/02/2020,"""RunRun""",BCN ZOO,26384182/8891,tissue,NA,NA,NA,NA,P1  (1 vial),Pellet for RNA,NA,NA,NA,NA
A13,20/02/2020,"""RunRun""",BCN ZOO,26384182/8891,tissue,NA,NA,NA,NA,P2 (8vials),NA,NA,NA,NA,NA
A14,20/02/2020,Panthera Leo Bleyenberghi,BCN ZOO,QGH16-04155/12780,tissue,dissection directly on plate,NA,Armida,NA,P0 (1 vial),Pellet for DNA,NEGATIVE @P2,NA,NA,NA
A14,20/02/2020,"""Macho""",BCN ZOO,QGH16-04155/12780,tissue,NA,NA,NA,NA,P1 (1 vial),Pellet for RNA,NA,NA,NA,NA
