species,species_genome,genome_match,divergence_mya_adj,min,max,,,,,
Phoenicopterus roseus,Phoenicopterus ruber,genus,NA,,,,,,,
Platalea ajaja,Theristicus caerulescens,family,42,,,,,,,
Platalea ajaja,Platalea minor,genus,NA,,,,,,,
Platalea leucorodia,Theristicus caerulescens,family,42,,,,,,,
Platalea leucorodia,Platalea minor,genus,3.3,,,,,,,
Plegadis falcinellus,Theristicus caerulescens,family,42,,,,,,,
Polyplectron napoleonis,Gallus gallus,family,35,32.7,38.3,,,,,
Polyplectron napoleonis,Alectoris chukar,family,39,32.9,46.1,,,,,
Porphyrio porphyrio,Porphyrio hochstetteri,genus,4.45,3.7,6.4,,,,,
Potamochoerus porcus,Phacochoerus africanus,family,8.1,7,21.5,,,,,
Pteropus lylei,Pteropus rufus,genus,13.6,,,,,,,
Ptilinopus melanospilus,Streptopelia turtur,family,32.1,21.4,44,,,,,
Ptilinopus superbus,Caloenas nicobarica,family,36,24.2,47.3,,,,,
Ptilinopus superbus,Streptopelia turtur,family,26.9,21.4,44,,,,,
Python breitensteini,Python bivittatus,genus,21,12.3,30.5,,,,,
Python regius,Python bivittatus,genus,21,12.3,30.5,,,,,
Ramphastos toco,Ramphastos sulfuratus,genus,4.79,,,,,,,
Rollulus rouloul,Alectoris chukar,family,37,28.6,46.4,,,,,
Saguinus oedipus,Saguinus midas,genus,5.4,0,6.3,,,,,
Sargocentron diadema,Myripristis murdjan,family,53,52,56.4,,,,,
Scissirostrum dubium,Acridotheres tristis,family,11.7,,,,,,,
Scyliorhinus stellaris,Scyliorhinus canicula,genus,NA,,,,,,,
Stigmochelys pardalis,Gopherus flavomarginatus,family,51,39.5,61.4,,,,,
Streptopelia decaocto,Streptopelia turtur,genus,12.9,,,,,,,
Strix aluco,Strix occidentalis,genus,NA,,,,,,,
Tauraco leucotis,Tauraco erythrolophus,genus,9.8,,,,,,,
Tauraco schalowi,Tauraco hartlaubi,genus,0.756,,,,,,,
Terrapene nelsoni,Terrapene carolina,genus,11.9,8.5,16.9,,,,,
Terrapene nelsoni,Terrapene triunguis,genus,11.9,8.5,16.9,,,,,
Testudo hermanni,Gopherus flavomarginatus,family,51,39.5,61.4,,,,,
Testudo hermanni,Testudo graeca,genus,33,26.3,38.5,,,,,
Testudo hermanni,Gopherus flavomarginatus,family,51,39.5,61.4,,,,,
Timon lepidus,Zootoca vivipara,family,46,34.6,51.1,,,,,
Trachyphonus erythrocephalus,Pogoniulus pusillus,family,38,,,,,,,
Tragelaphus spekii,Tragelaphus eurycerus,genus,3.19,1.9,6.9,,,,,
Trichoglossus moluccanus,Trichoglossus euteles,genus,NA,,,,,,,
Uromastyx acanthinura,Phrynocephalus forsythii,family,95,,,,,,,
Uromastyx acanthinura,Laudakia wui,family,95,83.8,110.1,,,,,
Varanus albigularis,Varanus salvator,genus,40,32.2,44.4,,,,,
Varanus prasinus,Varanus salvator,genus,29.2,21.3,37.8,,,,,
Zamenis longissimus,Ahaetulla prasina,family,21.8,,,,,,,
Zamenis scalaris,Ahaetulla prasina,family,21.8,,,,,,,
Zenaida graysoni,Streptopelia turtur,family,28.6,12.7,41.9,,,,,
Xenopus allofraseri,Xenopus petersii,genus,20,19.5,20.5,,,,,
Xenopus boumbaensis,Xenopus petersii,genus,20,19.5,20.5,,,,,
Xenopus longipes,Xenopus petersii,genus,20,19.5,20.5,,,,,
Copsychus malabaricus,Copsychus sechellarum,genus,7.4,5.3,11.9,,,,,
Ctenosaura similis,Ctenosaura bakeri,genus,16.1,16.3,37.6,,,,,
Sceloporus serrifer,Sceloporus undulatus,genus,18.6,17.5,45.9,,,,,
Hierophis viridiflavus,Ahaetulla prasina,family,41,28.4,45.9,,,,,
Carcharhinus plumbeus,Carcharhinus longimanus,genus,NA,,,,,,,
Chamaeleo chamaeleon,Chamaeleo calyptratus,genus,11.7,10.6,17.3,,,,,
Penelopides panini,Tockus erythrorhynchus,family,NA,,,,,,,
Polyplectron napoleonis,Pavo cristatus,family,38,32.7,38.3,,,,,
Rollulus rouloul,Pavo cristatus,family,37,28.6,46.4,,,,,
Chloris chloris,Serinus canaria,family,8.5,5,19.5,,,,,
Cyanocorax yncas,Cyanocitta cristata,family,14,12.8,16.4,,,,,
Timon lepidus,Podarcis vaucheri,family,43,9.7,69,,,,,
Heosemys spinosa,Pangshura tecta,family,47,45.6,47.7,,,,,
Scyliorhinus stellaris,Scyliorhinus torazame,genus,NA,,,,,,,
