"","scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","family","class","order","genome_match","species_genome","divergence_mya_adj","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","orders_num","alternative_name_","selected","top20"
"31","Sorex araneus","Sorex araneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sorex_araneus","42254","Sorex pyrenaicus","mSorAra","Sorex","Chordata","Metazoa","Eukaryota","Chromosome","SAMN00210854;SAMN32477717",374364821,NA,4024507,28480,2023-01-09,NA,NA,16887,2.91015625,2845980000,NA,NA,22,11,2,"EBP;PRJNA13689;PRJNA916523;PRJNA916524;PRJNA922145;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common shrew","Soricidae","Mammalia","Eulipotyphla",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,NA,"not selected",NA
"32","Sylvilagus floridanus","Sylvilagus floridanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sylvilagus_floridanus","9988","Sylvilagus floridanus subcinctus","mSylFlo","Sylvilagus","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA13607423",129271642,NA,34907720,NA,2023-04-19,NA,NA,17053,3.287109375,3215175000,NA,NA,42,21,2,"PRJEB61298;PRJEB61299;PRJEB61310",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eastern cottontail","Leporidae","Mammalia","Lagomorpha",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,"not selected",NA
"33","Elephantulus edwardii","Elephantulus edwardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elephantulus_edwardii","28737","Elephantulus edwardii","mEleEdw","Elephantulus","Chordata","Metazoa","Eukaryota","Scaffold","SAMN00749966;SAMN07678142",15011382,NA,24219,34723,2012-10-10,NA,NA,16552,5.98046875,5848440000,NA,NA,26,7,2,"EBP;PRJNA167910;PRJNA399475;PRJNA74589;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cape elephant shrew","Macroscelididae","Mammalia","Macroscelidea",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"not selected",NA
"34","Dromiciops gliroides","Dromiciops gliroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dromiciops_gliroides","33562","Didelphys australis","mDroGli","Dromiciops","Chordata","Metazoa","Eukaryota","Chromosome","SAMN15244861;SAMN18857598",670775900,NA,38230856,31081,2021-08-03,NA,NA,15350,3.828125,3789750000,NA,NA,14,7,2,"EBP;PRJNA639670;PRJNA728141;PRJNA728142;PRJNA776875;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monito del monte","Microbiotheriidae","Mammalia","Microbiotheria",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"not selected",NA
"35","Ornithorhynchus anatinus","Ornithorhynchus anatinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ornithorhynchus_anatinus","9258","Ornithorhynchus anatinus","mOrnAna","Ornithorhynchus","Chordata","Metazoa","Eukaryota","Chromosome","CNS0011508;SAMN02953646;SAMN08537700",83338043,NA,15146802,30497,2020-11-06,71.3,NA,17019,3.060546875,2992680000,NA,NA,52,31,2,"EBP;PRJNA12885;PRJNA167910;PRJNA433451;PRJNA489114;PRJNA489115;PRJNA513296;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duck-billed platypus","Ornithorhynchidae","Mammalia","Monotremata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"not selected",NA
"36","Notoryctes caurinus","Notoryctes caurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notoryctes_caurinus","203824","Notoryctes caurinus","mNotCau","Notoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,15923,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notoryctidae","Mammalia","Notoryctemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"not selected",NA
"37","Notoryctes typhlops","Notoryctes typhlops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notoryctes_typhlops","37699","Notoryctes typhlops","mNotTyp","Notoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,2023-04-03,NA,NA,15923,3.828125,3789750000,NA,NA,14,7,2,NA,NA,"in_progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"marsupial mole","Notoryctidae","Mammalia","Notoryctemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"not selected",NA
"38","Lestoros inca","Lestoros inca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lestoros_inca","42731","Lestoros inca","mLesInc","Lestoros","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16678,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incan shrew opossum","Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"39","Caenolestes sp. IAvH-CT-35596","Caenolestes sp. IAvH-CT-35596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_sp. IAvH-CT-35596","2964407",NA,NA,"Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"40","Caenolestes sp. IAvH-CT-35597","Caenolestes sp. IAvH-CT-35597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_sp. IAvH-CT-35597","2964408",NA,NA,"Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"41","Caenolestes sp. IAvH-CT-35619","Caenolestes sp. IAvH-CT-35619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_sp. IAvH-CT-35619","2964409",NA,NA,"Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"42","Caenolestes sp. IAvH-CT-35595","Caenolestes sp. IAvH-CT-35595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_sp. IAvH-CT-35595","2964410",NA,NA,"Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"43","Caenolestes sangay","Caenolestes sangay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_sangay","1408241","Caenolestes sangay","mCaeSan","Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sangay shrew opossum","Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"44","Caenolestes caniventer","Caenolestes caniventer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_caniventer","473861","Caenolestes caniventer","mCaeCan","Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grey-bellied shrew opossum","Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"45","Caenolestes convelatus","Caenolestes convelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_convelatus","1408244","Caenolestes convelatus","mCaeCon","Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"northern shew opossum","Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"46","Caenolestes fuliginosus","Caenolestes fuliginosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenolestes_fuliginosus","37696","Caenolestes fuliginosus","mCaeFul","Caenolestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,2023-04-03,NA,NA,16629,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"silky shrew opossum","Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"47","Rhyncholestes raphanurus","Rhyncholestes raphanurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhyncholestes_raphanurus","33559","Rhyncholestes raphanurus","mRhyRap","Rhyncholestes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,2023-04-03,NA,NA,16727,3.828125,3789750000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilean shrew opossum","Caenolestidae","Mammalia","Paucituberculata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"not selected",NA
"48","Rhynchomeles prattorum","Rhynchomeles prattorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhynchomeles_prattorum","1031281","Rhynchomeles prattorum","mRhyPra","Rhynchomeles","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seram bandicoot","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"49","Echymipera clara","Echymipera clara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echymipera_clara","65610","Echymipera clara","mEchCla","Echymipera","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clara's echymipera","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"50","Echymipera kalubu","Echymipera kalubu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echymipera_kalubu","42733","Echymipera kalubu","mEchKal","Echymipera","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kalubu echymipera","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"51","Echymipera rufescens","Echymipera rufescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echymipera_rufescens","65611","Echymipera rufescens","mEchRuf","Echymipera","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,2023-04-03,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"long-nosed echymipera","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"52","Microperoryctes sp. MMW-2011","Microperoryctes sp. MMW-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microperoryctes_sp. MMW-2011","1031272","Microperoryctes sp. MMW-2011",NA,"Microperoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"53","Microperoryctes sp. RWM-2011","Microperoryctes sp. RWM-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microperoryctes_sp. RWM-2011","1093929","Microperoryctes sp. RWM-2011",NA,"Microperoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"54","Microperoryctes aplini","Microperoryctes aplini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microperoryctes_aplini","1031271","Microperoryctes aplini","mMicApl","Microperoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"55","Microperoryctes longicauda","Microperoryctes longicauda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microperoryctes_longicauda","38629","Microperoryctes longicauda","mMicLon","Microperoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"striped bandicoot","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"56","Microperoryctes murina","Microperoryctes murina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microperoryctes_murina","2932462",NA,NA,"Microperoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"57","Microperoryctes papuensis","Microperoryctes papuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microperoryctes_papuensis","65613","Microperoryctes papuensis","mMicPap","Microperoryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Papuan bandicoot","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"58","Peroryctes broadbenti","Peroryctes broadbenti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peroryctes_broadbenti","1031279","Peroryctes broadbenti","mPerBro","Peroryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"giant bandicoot","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"59","Peroryctes raffrayana","Peroryctes raffrayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peroryctes_raffrayana","65628","Peroryctes raffrayana","mPerRaf","Peroryctes","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16642,4.46484375,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raffray's bandicoot","Peroryctidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"60","Chaeropus yirratji","Chaeropus yirratji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaeropus_yirratji","2591619",NA,NA,"Chaeropus","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16070,4.453125,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"61","Chaeropus ecaudatus","Chaeropus ecaudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaeropus_ecaudatus","92649","Chaeropus occidentalis","mChaEca","Chaeropus","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16070,4.453125,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig-footed bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"62","Isoodon peninsulae","Isoodon peninsulae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoodon_peninsulae","2767847",NA,NA,"Isoodon","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16852,4.64453125,4542810000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"63","Isoodon fusciventer","Isoodon fusciventer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoodon_fusciventer","120743","Isoodon fusciventer","mIsoFus","Isoodon","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16852,4.64453125,4542810000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"64","Isoodon auratus","Isoodon auratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoodon_auratus","120734","Isoodon auratus","mIsoAur","Isoodon","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16852,4.64453125,4542810000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"golden bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"65","Isoodon macrourus","Isoodon macrourus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoodon_macrourus","37698","Isoodon macrourus","mIsoMac","Isoodon","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,2023-04-03,NA,NA,16852,4.671875,4567260000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern brown bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"66","Isoodon obesulus","Isoodon obesulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoodon_obesulus","65612","Isoodon obesulus","mIsoObe","Isoodon","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16852,4.62109375,4518360000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern brown bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"67","Perameles bougainville","Perameles bougainville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perameles_bougainville","120735","Perameles bougainville","mPerBou","Perameles","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16070,4.453125,4356990000,NA,NA,14,7,2,NA,NA,"in_progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"western barred bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"68","Perameles eremiana","Perameles eremiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perameles_eremiana","1031274","Perameles eremiana","mPerEre","Perameles","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16070,4.453125,4356990000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Desert bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"69","Perameles gunnii","Perameles gunnii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perameles_gunnii","37737","Perameles gunnii","mPerGun","Perameles","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16070,4.421875,4322760000,NA,NA,14,7,2,NA,NA,"in_progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern barred bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"70","Perameles nasuta","Perameles nasuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perameles_nasuta","9344","Perameles nasuta","mPerNau","Perameles","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,16070,4.48828125,4391220000,NA,NA,14,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-nosed bandicoot","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"71","Macrotis lagotis","Macrotis lagotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macrotis_lagotis","92651","Macrotis lagotis","mMacLag","Macrotis","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,2023-04-03,NA,NA,15289,4.2890625,4195620000,NA,NA,18,9,2,NA,NA,"in_progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rabbit-eared bandicoot, bilby","Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
"72","Macrotis leucura","Macrotis leucura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macrotis_leucura","2932461",NA,NA,"Macrotis","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,15289,4.2890625,4195620000,NA,NA,18,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peramelidae","Mammalia","Peramelemorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"not selected",NA
