"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","family","order","class","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","genome_match","species_genome","divergence_mya_adj","...31","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Oryctolagus cuniculus","Oryctolagus cuniculus","ibicea","","-","ENDANGERED",2,"-, F","Mammalia","Fibro","","X","","","","Tissue","Ibicean Rabbit","Oryctolagus_cuniculus","9986","New Zealand rabbit","mOryCun","Oryctolagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN02953624;SAMN12179861;SAMN15208106",111644748,NA,337730,37497,"2021-02-04",87.7,NA,17245,3.259765625,3188280000,NA,NA,44,22,2,"PRJNA12819;PRJNA274594;PRJNA635554",NA,"insdc_open","rabbit","GCF_009806435.1-RS_2023_02","2023/02/27 00:00:00","2023/03/09 00:00:00","Rabbit",9986,"OryCun2.0","GCA_000003625.1","Full genebuild","Y","Y","European rabbit,Rabbit","species","Oryctolagus cuniculus",1e-4,NA,NA,TRUE,TRUE,TRUE,3,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Loxodonta africana","Loxodonta africana",NA,NA,NA,"ENDANGERED",1,"M","Mammalia","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Loxodonta_africana","9785","Elephas africanus cavendishi","mLoxAfr","Loxodonta","Elephantidae","Proboscidea","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02953622;SAMN28571074;SAMN28571075;SAMN28571081;SAMN28571082;SAMN32756554",46401353,NA,69023,28964,"2009-07-15",NA,NA,16866,4.44140625,4342320000,NA,NA,56,28,2,"EBP;PRJNA12569;PRJNA840935;PRJNA924321;PRJNA924322;PRJNA970377;VGP",NA,"insdc_open","African savanna elephant","102.0","2018/01/09 00:00:00","2018/01/16 00:00:00","Elephant",9785,"Loxafr3.0","GCA_000001905.1","Full genebuild","-","-","African Savanna Elephant,African elephant","species","Loxodonta africana",1e-4,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Elephas maximus","Elephas maximus","sumatranus","","I","ENDANGERED",4,"M","Mammalia",NA,"","","","","","Blood, Tissue (ear)/Umbellical Cordon/Placenta","","Elephas_maximus","9783","Elephas asiaticus","mEleMax","Elephas","Elephantidae","Proboscidea","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN14648705;SAMN28571076;SAMN28571077;SAMN28571078;SAMN28571079;SAMN28571080;SAMN29174328",102334419,NA,252430,NA,"2023-06-16",94.2,NA,16902,4.03125,3941340000,NA,NA,56,28,2,"EBP;PRJNA622303;PRJNA840935;PRJNA850184;PRJNA850270;PRJNA855931;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asian Elephant, Sumatran elephant,Asian elephant","species","Elephas maximus",1e-4,NA,NA,TRUE,TRUE,TRUE,5,4,1,3,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Ceratotherium simum","Ceratotherium simum",NA,NA,"I","NEAR THREATENED",3,"-/M/M","Mammalia","Fibro/PBMc",NA,"x","x",NA,NA,"Blood",NA,"Ceratotherium_simum","9807","Rhinoceros burchellii","mCerSim","Ceratotherium","Rhinocerotidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN00778988;SAMN19546241;SAMN23637016",67555069,NA,50391373,NA,"2023-04-03",NA,NA,16832,3.33984375,3266520000,NA,NA,82,41,2,"PRJNA167910;PRJNA734732;PRJNA74583;PRJNA786211",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern white rhinoceros,white rhinoceros","species","Ceratotherium simum",1e-4,NA,NA,TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,3,"Both",1,2,2,"Perissodactyla",TRUE
"Equus caballus","Equus caballus","przewalskii","","I","ENDANGERED",2,"F, M","Mammalia","Fibro","","X","","","","Placenta/ Umbilical Cordon, Tissue (ear)","","Equus_caballus","9796","Hippidium neogaeum","mEquCab","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN02808397;SAMN02953672;SAMN31674490;SAMN31674491;SAMN31674492;SAMN31674493;SAMN31674494;SAMN31674495;SAMN31674496",87230776,NA,1502753,33146,"2018-01-05",NA,NA,16660,3.1796875,3110040000,NA,NA,64,32,2,"PRJNA18661;PRJNA200654;PRJNA421018;PRJNA899919",NA,"insdc_open","horse","103.0","2018/01/11 00:00:00","2018/01/26 00:00:00","Horse",9796,"EquCab3.0","GCA_002863925.1","Full genebuild","Y","Y","Przewalski's horse, Horse (domestic),Horse","species","Equus caballus",1e-4,NA,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,3,"Both",1,2,2,"Perissodactyla",FALSE
"Equus quagga","Equus quagga","burchelli","","II?, -","NEAR THREATENED",3,"tigris, F","Mammalia","Fibro","X","X","X","X","","Tissue","Equus quagga chapmani","Equus_quagga","89248","Equus burchellii quagga",NA,"Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN06718192;SAMN16526506",122556673,NA,427941,27599,"2022-01-31",NA,NA,16506,3.560546875,3481680000,NA,NA,44,22,2,"PRJNA382745;PRJNA785630",NA,"insdc_open","plains zebra","GCF_021613505.1-RS_2023_03","2023/03/03 00:00:00","2023/03/05 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"species","Equus quagga",1e-4,NA,NA,TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,3,"Both",1,2,2,"Perissodactyla",TRUE
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris",NA,"Hydrochoerinae","-","LEAST CONCERN",1,"M","Mammalia","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Hydrochoerus_hydrochaeris","10149","Hydrochaerus capybara","mHydHyd","Hydrochoerus","Hydrochaeridae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMD00144944;SAMN07678143;SAMN15801460",202224,NA,148451,NA,"2019-01-16",NA,NA,16616,3.689453125,3663832500,NA,NA,64,27,2,"EBP;PRJDB7394;PRJNA399400;PRJNA512907;PRJNA944680;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capybara,capybara","species","Hydrochoerus hydrochaeris",1e-4,NA,NA,TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,3,"Both",1,1,1,"Rodentia",FALSE
"Dolichotis patagonum","Dolichotis patagonum",NA,"Dolichotinae","-","NEAR THREATENED",3,"F/M/-","Mammalia","Fibro","X","X","X",NA,NA,"Tissue",NA,"Dolichotis_patagonum","29091","Dolichotis patagonum","mDolPat","Dolichotis","Caviidae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678081",31026,NA,27983,NA,"2019-01-16",72.60000000000001,NA,16741,3.69921875,3618600000,NA,NA,64,32,2,"EBP;PRJNA399391;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patagonian mara,Patagonian cavy","species","Dolichotis patagonum",1e-4,NA,NA,TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,3,"Both",1,2,2,"Rodentia",TRUE
"Hystrix cristata","Hystrix cristata",NA,NA,"-","LEAST CONCERN",1,"F/M","Mammalia","Fibro",NA,"x","x",NA,NA,"Tissue","Hystrix","Hystrix_cristata","10137","Hystrix cristata","mHysCri","Hystrix","Hystricidae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678090",64768,NA,57102,NA,"2019-01-16",NA,NA,16822,3.689453125,3663832500,NA,NA,48,24,2,"EBP;PRJNA399401;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short-tailed porcupine,crested porcupine","species","Hystrix cristata",1e-4,NA,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,3,"Both",1,2,2,"Rodentia",FALSE
"Lutra lutra","Lutra lutra",NA,"Lutrinae","I","NEAR THREATENED",2,"M/F","Mammalia","Fibro","X","X",NA,"X",NA,"tissue",NA,"Lutra_lutra","9657","Lutra lutra","mLutLut","Lutra","Mustelidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA994731",149004807,NA,30403456,32271,"2020-07-31",94.9,NA,16536,2.9453125,2880210000,NA,NA,38,19,2,"DTOL;EBP;ERGA;PRJEB33226;PRJEB35338;PRJEB35339;PRJEB35340;VGP",NA,"insdc_open","Eurasian river otter","GCF_902655055.1-RS_2023_03","2023/03/03 00:00:00","2023/03/05 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Eurasian otter,Otter","species","Lutra lutra",1e-4,NA,NA,TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Panthera leo","Panthera leo",NA,"Pantherinae","II","VULNERABLE",9,"F/M/F/F/F/F/F","Mammalia","Fibro","X","X","X","X",NA,"blood",NA,"Panthera_leo","9689","Felis imperialis","mPanLeo","Panthera","Felidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN12375718;SAMN14446495;SAMN17054329",147402474,NA,77781637,32109,"2021-05-13",NA,NA,16620,2.94921875,2885100000,NA,NA,38,19,2,"PRJNA556895;PRJNA615082;PRJNA684340;PRJNA747255",NA,"insdc_open","lion","100.0","2021/08/06 00:00:00","2021/08/11 00:00:00","Lion",9689,"PanLeo1.0","GCA_008795835.1","Full genebuild","-","-","Lion,African lion","species","Panthera leo",1e-4,NA,NA,TRUE,TRUE,TRUE,8,8,8,0,0,TRUE,16,"Both",1,8,2,"Carnivora",TRUE
"Panthera onca","Panthera onca",NA,"Pantherinae","I","NEAR THREATENED",4,"F/F","Mammalia","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Panthera_onca","9690","Panthera augusta","mPanOnc","Panthera","Felidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN07678103;SAMN14122073",132627732,NA,51083,NA,"2023-02-09",NA,NA,17049,2.830078125,2767740000,NA,NA,38,19,2,"EBP;PRJNA399411;PRJNA512907;PRJNA944680;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jaguar,jaguar","species","Panthera onca",1e-4,NA,NA,TRUE,TRUE,TRUE,5,4,4,0,0,TRUE,16,"Both",1,4,2,"Carnivora",TRUE
"Canis lupus","Canis lupus",NA,NA,"II","LEAST CONCERN",4,"M/F/F/F","Mammalia","Fibro",NA,"X","X","X",NA,"Tissue/Blood",NA,"Canis_lupus","9612","Canis petrolei","mCanLup","Canis","Canidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA7532739;SAMN01737209;SAMN02953603;SAMN03004377;SAMN03366711;SAMN04851098;SAMN07678141;SAMN09397198;SAMN10180180;SAMN10180181;SAMN10749847;SAMN12574852;SAMN13230619;SAMN14279123;SAMN14380863;SAMN14395261;SAMN14478636",65778685,NA,34375412,NA,"2023-04-03",95.5,NA,16729,2.810546875,2748180000,NA,NA,78,39,2,"DTOL;EBP;ERGA;PRJEB43199;PRJEB43200;PRJEB43409;PRJNA10628;PRJNA13179;PRJNA176193;PRJNA318403;PRJNA399441;PRJNA475652;PRJNA494426;PRJNA512874;PRJNA540662;PRJNA541172;PRJNA560310;PRJNA587469;PRJNA610230;PRJNA610232;PRJNA610592;PRJNA612738;PRJNA613141;PRJNA615959;VGP;ZOONOMIA",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iberian Wolf,Timber wolf","species","Canis lupus",1e-4,NA,NA,TRUE,TRUE,TRUE,4,4,4,0,0,TRUE,16,"Both",1,4,2,"Carnivora",TRUE
"Mungos mungo","Mungos mungo",NA,NA,"-","LEAST CONCERN",1,"-","Mammalia","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Mungos_mungo","210652","Crossarchus fasciatus colonus","mMunMun","Mungos","Herpestidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678097;SAMN29758773",236501,NA,180702,NA,"2019-01-15",NA,NA,16663,2.8046875,2738400000,NA,NA,36,18,2,"EBP;PRJNA399406;PRJNA512907;PRJNA944680;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banded Mongoose,banded mongoose","species","Mungos mungo",1e-4,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Ursus thibetanus","Ursus thibetanus",NA,NA,"I","VULNERABLE",1,"F","Mammalia","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Ursus_thibetanus","9642","Ursus thibetanus","mUrsThi","Ursus","Ursidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMD00233067;SAMN12818422",26803000,NA,145966,NA,"2023-04-03",NA,NA,16795,2.75,2689500000,NA,NA,74,37,2,"PRJDB10066;PRJNA573607",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asiatic Black Bear,Asiatic black bear","species","Ursus thibetanus",1e-4,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Otaria byronia","Otaria byronia",NA,NA,"-","LEAST CONCERN",3,"F/F/F","Mammalia","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Otaria_byronia","161932","Phoca flavescens","mOtaByr","Otaria","Otariidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","CNS0152185",144693000,NA,NA,NA,"2023-04-03",NA,NA,16643,3.150390625,3080700000,NA,NA,36,18,2,NA,NA,"open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South American Sea Lion,South American sea lion","species","Otaria byronia",1e-4,NA,NA,FALSE,TRUE,FALSE,3,3,3,0,0,TRUE,16,"Both",1,3,2,"Carnivora",TRUE
"Ailuropoda melanoleuca","Ailuropoda melanoleuca",NA,NA,"I","VULNERABLE",2,NA,"Mammalia","Fibro","X",NA,NA,NA,NA,"Tissue",NA,"Ailuropoda_melanoleuca","9646","Ailuropus melanoleucus","mAilMel","Ailuropoda","Ursidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","CNS0152937;CNS0152938;SAMN00008160;SAMN04193337;SAMN23470118",129245720,NA,127687,31335,"2020-04-20",NA,NA,16805,2.75,2689500000,NA,NA,42,21,2,"PRJNA38683;PRJNA588422;PRJNA784095",NA,"insdc_open","giant panda","103.0","2020/05/19 00:00:00","2020/05/26 00:00:00","Giant panda",9646,"ASM200744v2","GCA_002007445.2","Full genebuild","-","-","Giant Panda,giant panda","species","Ailuropoda melanoleuca",1e-4,NA,NA,TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Suricata suricatta","Suricata suricatta",NA,NA,"-","LEAST CONCERN",6,"F/F/M/-/M","Mammalia","Fibro","X","X","X",NA,NA,"Tissue",NA,"Suricata_suricatta","37032","Viverra suricata","mSurSur","Suricata","Herpestidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN07678040;SAMN11840572",141453419,NA,75409,35499,"2019-07-03",NA,NA,16914,2.8046875,2738400000,NA,NA,36,18,2,"EBP;PRJNA399357;PRJNA540846;ZOONOMIA",NA,"published","meerkat","100.0","2019/07/11 00:00:00","2019/07/15 00:00:00","Meerkat",37032,"meerkat_22Aug2017_6uvM2_HiC","GCA_006229205.1","Full genebuild","-","-","Meerkat,meerkat","species","Suricata suricatta",1e-4,NA,NA,TRUE,TRUE,TRUE,6,6,6,0,0,TRUE,16,"Both",1,6,2,"Carnivora",TRUE
"Crocuta crocuta","Crocuta crocuta",NA,NA,"-","LEAST CONCERN",1,"M","Mammalia","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Crocuta_crocuta","9678","Crocuta thomasi","mCroCro","Crocuta","Hyaenidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","CNS0103290;SAMN12283067",7236831,NA,97873,19698,"2019-10-07",93.5,NA,17138,2.8046875,2738400000,NA,NA,40,20,2,"PRJNA554753",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spotted hyena,spotted hyena","species","Crocuta crocuta",1e-4,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Zalophus californianus","Zalophus californianus",NA,NA,"-","LEAST CONCERN",2,"F/F","Mammalia","Fibro",NA,"X",NA,NA,NA,"Tissue","Zalophus californianos","Zalophus_californianus","9704","Zalophus gilliespii","mZalCal","Zalophus","Otariidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","CNS0152191;SAMEA5145493;SAMN07678053;SAMN12368149",147124152,NA,32626160,32543,"2020-07-14",NA,NA,16677,3.150390625,3080700000,NA,NA,36,18,2,"EBP;PRJEB30031;PRJEB30033;PRJNA399369;PRJNA559673;PRJNA559674;PRJNA561800;VGP;ZOONOMIA",NA,"published","California sea lion","101.0","2020/07/29 00:00:00","2020/08/06 00:00:00","California sea lion",9704,"mZalCal1.pri","GCA_009762305.1","Full genebuild","-","-","California sea lion","species","Zalophus californianus",1e-4,NA,NA,TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Mustela lutreola novikovi","Mustela lutreola","novikovi",NA,NA,"CRITICALLY ENDANGERED",1,"F","Mammalia","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Mustela_lutreola","9666","Mustela transsylvanica","mMusLut","Mustela","Mustelidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN35784236",154078643,NA,83356672,NA,"2023-07-13",NA,NA,16504,2.9453125,2880210000,NA,NA,38,19,2,"EBP;PRJNA984926;PRJNA984927;PRJNA986837;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European mink","species","Mustela lutreola",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Panthera tigris","Panthera tigris",NA,NA,"I","ENDANGERED",2,"F/M","Mammalia","Fibro",NA,"X","X",NA,NA,"Tissue (ovary/skin)",NA,"Panthera_tigris","9694","Felis tigris","mPanTig","Panthera","Felidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","CNS0348048;CNS0348049;SAMN02086964;SAMN17054330;SAMN17816862;SAMN19312021;SAMN19312022;SAMN22209229",146942463,NA,74391967,33598,"2021-05-13",NA,NA,16990,2.7109375,2650380000,NA,NA,38,19,2,"PRJNA182708;PRJNA548814;PRJNA684344;PRJNA732096;PRJNA747255;PRJNA770127",NA,"insdc_open","tiger","102.0","2021/08/10 00:00:00","2021/08/19 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Tiger","species","Panthera tigris",1e-4,NA,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,16,"Both",1,2,2,"Carnivora",FALSE
"Pteronura brasiliensis","Pteronura brasiliensis",NA,NA,"I","ENDANGERED",1,"F","Mammalia","Fibro",NA,NA,NA,NA,NA,"Tissue (uter/skin)",NA,"Pteronura_brasiliensis","9672","Mustela lutris brasiliensis","mPteBra","Pteronura","Mustelidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678049",119023,NA,90879,NA,"2019-01-15",82.7,NA,16395,2.9453125,2880210000,NA,NA,38,19,2,"EBP;PRJNA399365;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Giant otter,giant otter","species","Pteronura brasiliensis",1e-4,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,16,"Both",1,1,1,"Carnivora",FALSE
"Panthera pardus","Panthera pardus","kotiya, saxicolor","","I","VULNERABLE",2,"M","Mammalia","Fibro","","X","","","","Tissue","","Panthera_pardus","9691","Panthera pardus","mPanPar","Panthera","Felidae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN04347630;SAMN23235441;SAMN23235442",126810544,NA,22236240,34379,"2022-07-21",NA,NA,16964,2.830078125,2767740000,NA,NA,38,19,2,"PRJNA306701;PRJNA781750;PRJNA781751;PRJNA847350;PRJNA847351;PRJNA860191;PRJNA860194",NA,"insdc_open","leopard","GCF_024362965.1-RS_2023_02","2023/02/22 00:00:00","2023/03/02 00:00:00","Leopard",9691,"PanPar1.0","GCA_001857705.1","Full genebuild","-","-","Leopard, Persian leopard,leopard","species","Panthera pardus",1e-4,NA,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,16,"Both",1,2,2,"Carnivora",FALSE
"Ailurus fulgens","Ailurus fulgens",NA,NA,"I","ENDANGERED",5,"F/F/F/M/F","Mammalia","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Ailurus_fulgens",NA,"Ailurus fulgens",NA,"Ailurus","Ailuridae","Carnivora","Mammalia","Chordata","Metazoa","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Panda,lesser panda",NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,5,4,4,0,0,TRUE,16,"Both",1,4,2,"Carnivora",TRUE
"Ateles hybridus","Ateles hybridus",NA,"Atelinae","II","CRITICALLY ENDANGERED",8,"F/F/F/M/F/U/M/U","Mammalia","Fibro","X","X",NA,"X","X","Tissue/placenta",NA,"Ateles_hybridus","129801","Ateles hybridus brunneus","mAteHyb","Ateles","Atelidae","Primates","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMEA8994840",50515269,NA,50515269,NA,"2021-09-22",NA,NA,16560,3.23828125,3166275000,NA,NA,34,17,2,"PRJEB46485",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brown Spider Monkey,brown spider monkey","species","Ateles hybridus",1e-4,NA,NA,FALSE,TRUE,FALSE,8,7,6,0,1,TRUE,20,"Both",1,6,2,"Primates",TRUE
"Lemur catta","Lemur catta",NA,"Lemuridae","I","ENDANGERED",4,"M/M/M","Mammalia","Fibro",NA,NA,NA,"X",NA,"Tissue (skin)",NA,"Lemur_catta","9447","Maki mococo","mLemCat","Lemur","Lemuridae","Primates","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN07678092;SAMN12621102;SAMN23575359",102162704,NA,32529614,30858,"2021-11-04",NA,NA,16953,3.279296875,3207840000,NA,NA,56,28,2,"EBP;PRGP;PRJNA399402;PRJNA561949;PRJNA561950;PRJNA562215;PRJNA785018;VGP;ZOONOMIA",NA,"published","Ring-tailed lemur","100.0","2021/12/08 00:00:00","2021/12/21 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Ring-tailed Lemur,Ring-tailed lemur","species","Lemur catta",1e-4,NA,NA,TRUE,TRUE,TRUE,5,2,2,0,0,TRUE,20,"Both",1,2,2,"Primates",TRUE
"Saguinus imperator subgrisescens","Saguinus imperator","subgrisescens","Callitrichinae","II","LEAST CONCERN",3,"M/M/F","Mammalia","Fibro","X","X",NA,"x",NA,"Tissue",NA,"Saguinus_imperator","9491","Saguinus imperator","mSagImp","Saguinus","Cebidae","Primates","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678110",65636,NA,53787,NA,"2019-01-15",NA,NA,16505,3.455078125,3378990000,NA,NA,46,23,2,"EBP;PRJNA399417;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bearded Emperor Tamarin,tamarin","species","Saguinus imperator",1e-4,NA,NA,FALSE,TRUE,FALSE,3,3,3,0,0,TRUE,20,"Both",1,3,2,"Primates",TRUE
"Pan troglodytes troglodytes","Pan troglodytes","troglodytes",NA,"I","ENDANGERED",9,"F/F/F/F/F/?/F/F/M","Mammalia","Fibro","X","X","X","X","X","Tissue/Blood",NA,"Pan_troglodytes","9598","Pan troglodytes","mPanTro","Pan","Hominidae","Primates","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN02981217;SAMN06272697;SAMN30216104;SAMN30617505",144388002,NA,94528342,44705,"2023-02-27",91.5,NA,16554,3.6953125,3613710000,NA,NA,48,24,2,"PRJNA13184;PRJNA369439;PRJNA916736;PRJNA916737;PRJNA930872;PRJNA941354;PRJNA941355;PRJNA950949",NA,"insdc_open","chimpanzee","GCF_028858775.1-RS_2023_04","2023/04/06 00:00:00","2023/04/11 00:00:00","Chimpanzee",9598,"Pan_tro_3.0","GCA_000001515.5","Full genebuild","Y","Y","Central chimpanzee,Chimpanzee","species","Pan troglodytes",1e-4,NA,NA,FALSE,TRUE,TRUE,9,9,9,0,2,TRUE,20,"Both",1,9,2,"Primates",TRUE
"Cercocebus atys lunulatus","Cercocebus atys","lunulatus",NA,"II","ENDANGERED",6,"F/M/F/M/F/F","Mammalia","Fibro","X","X",NA,"x",NA,NA,"White-naped Mangabey","Cercocebus_atys","9531","Cercocebus fuliginosus","mCerAty","Cercocebus","Cercopithecidae","Primates","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN03379531",12849131,NA,112942,30556,"2015-03-19",NA,NA,16543,3.740234375,3657720000,NA,NA,42,21,2,"PRJNA157077;PRJNA167910",NA,"insdc_open","sooty mangabey","100.0","2015/03/23 00:00:00","2015/03/30 00:00:00","Sooty mangabey",9531,"Caty_1.0","GCA_000955945.1","Full genebuild","-","Y","White-naped Mangabey,Mangabey","species","Cercocebus atys",1e-4,NA,NA,FALSE,TRUE,TRUE,5,3,3,0,0,TRUE,20,"Both",1,3,2,"Primates",TRUE
"Pongo pygmaeus","Pongo pygmaeus",NA,NA,"I","CRITICALLY ENDANGERED",3,"F/U/M","Mammalia","Fibro","X","X","X","x","X","Cell culture / Placenta/ombelical Cordon","Pongo pygmaeus pygmaeus","Pongo_pygmaeus","9600","Pongo pygmaeus fromageti","mPonPyg","Pongo","Hominidae","Primates","Mammalia","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA9989851;SAMN10521809;SAMN23575352",140977933,NA,90555683,39296,"2023-02-28",93.9,NA,16389,3.66015625,3579480000,NA,NA,48,24,2,"EBP;PRGP;PRJEB47562;PRJNA785018;PRJNA916740;PRJNA916742;PRJNA930876",NA,"insdc_open","Bornean orangutan","GCF_028885625.1-RS_2023_04","2023/04/06 00:00:00","2023/04/11 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Orangutan","species","Pongo pygmaeus",1e-4,NA,NA,FALSE,TRUE,TRUE,3,3,3,0,1,TRUE,20,"Both",1,3,2,"Primates",TRUE
