"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","family","order","class","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","genome_match","species_genome","divergence_mya_adj","...31","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Haliaeetus_leucocephalus","52644","Haliaeetus leucocephalus","bHalLeo","Haliaeetus","Accipitridae","Accipitriformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02664716",9145499,NA,105493,15655,"2014-08-04",96.9,NA,17719,1.4296875,1398540000,NA,NA,66,33,2,"PRJNA237821",NA,"insdc_open","bald eagle","100.0","2014/12/04 00:00:00","2014/12/06 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Bald Eagle","species","Haliaeetus leucocephalus",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Gallus gallus domestic","Gallus gallus","domestic",NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Gallus_gallus","9031","red junglefowl","bGalGal","Gallus","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota","Chromosome","SAMN02981218;SAMN07713967;SAMN15960293;SAMN20335981;SAMN20335982;SAMN20335983;SAMN20335984;SAMN20335985;SAMN20335986;SAMN20335987;SAMN20335988;SAMN20335989;SAMN20335990;SAMN20335991;SAMN20335992;SAMN20335993;SAMN20335994;SAMN20335995;SAMN20335996;SAMN20335997;SAMN20335998;SAMN20335999;SAMN20336000;SAMN28017485;SAMN28017486",90861225,NA,18834961,25635,"2021-01-19",96.6,NA,16784,1.2646484375,1237170000,NA,NA,78,39,2,"EBP;PRJNA13342;PRJNA167910;PRJNA412408;PRJNA412424;PRJNA489244;PRJNA660757;PRJNA660758;PRJNA673216;PRJNA777393;PRJNA838368;PRJNA838369;PRJNA838370;PRJNA838371;PRJNA915401;PRJNA915403;VGP",NA,"insdc_open","chicken","106.0","2021/12/23 00:00:00","2022/03/03 00:00:00","Chicken",9031,"bGalGal1.mat.broiler.GRCg7b","GCA_016699485.1","Full genebuild","Y","Y","Domestic chicken","species","Gallus gallus",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Galliformes",TRUE
"Pavo cristatus","Pavo cristatus",NA,NA,"-","LEAST CONCERN",1,"U","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea/Skin","Pavo cristatuts","Pavo_cristatus","9049","Pavo cristatus","bPavCri","Pavo","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07739105;SAMN17574783",11421185,NA,6188159,NA,"2022-01-19",96.3,NA,16686,1.33984375,1310520000,NA,NA,82,27,2,"PRJNA413288;PRJNA745383",NA,"insdc_open",NA,NA,NA,NA,"Indian peafowl",9049,"AIIM_Pcri_1.0","GCA_005519975.1","Full genebuild","-","-","Indian Peafowl,Indian peafowl","species","Pavo cristatus",1e-4,NA,NA,FALSE,TRUE,TRUE,2,2,2,0,0,TRUE,3,"Both",1,2,2,"Galliformes",FALSE
"Psophia crepitans","Psophia crepitans",NA,NA,"-","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Psophia_crepitans","54359","Psophia crepitans","bPsoCre","Psophia","Psophiidae","Gruiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","CNS0103075;SAMN12253810",468890,NA,58160,15289,"2020-07-10",96.4,NA,17138,1.419921875,1388760000,NA,NA,80,40,2,"B10K;EBP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grey-winged Trumpeter,common trumpeter","species","Psophia crepitans",1e-4,NA,NA,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Tyto alba","Tyto alba",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Tyto_alba","56313","Tyto alba","bTytAlb","Tyto","Tytonidae","Strigiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMEA5733888;SAMN02339894;SAMN17526497",36032128,NA,17955177,19198,"2021-06-03",84.2,NA,17086,1.6298828125,1594140000,NA,NA,92,46,2,"PRJEB33158;PRJNA212909;PRJNA694551",NA,"insdc_open","Barn owl","102.0","2021/08/04 00:00:00","2021/08/09 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Common Barn-owl,Owl, Barn","species","Tyto alba",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",TRUE
"Lophura edwardsi","Lophura edwardsi",NA,NA,"I","CRITICALLY ENDANGERED",1,"U","Birds","Fibro",NA,"X",NA,NA,NA,"Trachea",NA,"Lophura_edwardsi","140446","Lophura edwardsi","bLopSwi","Lophura","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota","Chromosome","SAMN34996114",61385513,NA,11027439,NA,"2023-07-05",NA,NA,16693,1.2646484375,1237170000,NA,NA,82,27,2,"PRJNA970229",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vietnam pheasant,Edwards's pheasant","genus","Lophura swinhoii",2.06,NA,"species",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Galliformes",TRUE
"Chauna torquata","Chauna torquata",NA,NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"x",NA,NA,NA,"Trachea",NA,"Chauna_torquata","30388","Chauna torquata","bChaTor","Chauna","Anhimidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","CNS0103165;SAMN12253900",232486,NA,39550,15083,"2020-07-10",90.5,NA,16766,1.419921875,1364310000,NA,NA,80,40,2,"B10K;EBP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern screamer,southern screamer","species","Chauna torquata",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Cygnus atratus","Cygnus atratus",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,NA,NA,"Trachea/Tissue",NA,"Cygnus_atratus","8868","Anser novaehollandiae","bCygAtr","Cygnus","Anatidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota","Chromosome","SAMN15332785",84552148,NA,28995010,18459,"2022-08-03",97.2,NA,16748,1.4501953125,1418100000,NA,NA,80,40,2,"PRJNA640810",NA,"insdc_open","black swan","GCF_013377495.2-RS_2023_02","2023/02/27 00:00:00","2023/02/28 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Black swan","species","Cygnus atratus",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",TRUE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,NA,"-","LEAST CONCERN",6,"M/U/U/M/U","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Nycticorax_nycticorax","8901","Ardea spec","bNycNyc","Nycticorax","Ardeidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN24836896",3016563,NA,73971,NA,"2022-05-16",NA,NA,17829,1.349609375,1320300000,NA,NA,76,32,2,"PRJNA796267",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black-crowned night heron,Black-crowned Night Heron","species","Nycticorax nycticorax",1e-4,NA,NA,FALSE,TRUE,FALSE,6,2,2,0,0,TRUE,3,"Both",1,2,2,"Pelecaniformes",FALSE
"Threskiornis aethiopicus","Threskiornis aethiopicus",NA,NA,NA,"LEAST CONCERN",1,"U","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue/Trachea",NA,"Threskiornis_aethiopicus","100858","Tantalus aethiopicus","bThrAet","Threskiornis","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN26583602",90113662,NA,32973,NA,"2023-02-10",NA,NA,16960,1.25,1222500000,NA,NA,68,34,2,"PRJNA815244",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sacred ibis","species","Threskiornis aethiopicus",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Pelecaniformes",TRUE
