"","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","sample_id","link","dna","karyo","rna","iPSC2","seq"
"18","Terrapene nelsoni","Terrapene nelsoni",NA,"Spotted Box Turtle","Emydidae","FRW17-00799/JEREZ / TENE07","U","M","Primary",NA,NA,NA,NA,NA,"A108",NA,NA,NA,"DD","Reptiles",FALSE,FALSE,"Ter_Nel","Ter_Nel_1","https://iucn-tftsg.org/terrapene-nelsoni-060/",FALSE,FALSE,FALSE,FALSE,FALSE
"19","Terrapene nelsoni","Terrapene nelsoni",NA,"Spotted Box Turtle","Emydidae","FRW17-00798/JEREZ / TENE06","U","F","Primary",NA,NA,NA,NA,NA,"A82",NA,NA,NA,"DD","Reptiles",FALSE,FALSE,"Ter_Nel","Ter_Nel_2","https://www.iucnredlist.org/species/21643/97298467",FALSE,FALSE,FALSE,FALSE,FALSE
"20","Caretta caretta","Caretta caretta",NA,"Loggerhead Turtle","Cheloniidae","-",NA,NA,"PBMc",NA,NA,NA,NA,NA,"A151",NA,NA,NA,"VU","Reptiles",TRUE,FALSE,"Car_Car","Car_Car_1","https://www.iucnredlist.org/species/3897/119333622",FALSE,FALSE,FALSE,FALSE,FALSE
"21","Caretta caretta","Caretta caretta",NA,"Loggerhead Turtle","Cheloniidae","-",NA,NA,"PBMc",NA,NA,NA,NA,NA,"A152",NA,NA,NA,"VU","Reptiles",TRUE,FALSE,"Car_Car","Car_Car_2","https://reptile-database.reptarium.cz/species?genus=Caretta&species=caretta",FALSE,FALSE,FALSE,FALSE,FALSE
"22","Stigmochelys pardalis","Stigmochelys pardalis",NA,"Leopard Tortoise","Testudinidae","FRW18-00897/JEREZ / PAR-5","U","U","Primary",NA,NA,NA,NA,NA,"A88",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Sti_Par","Sti_Par_1","https://www.iucnredlist.org/species/163449/1009442",FALSE,FALSE,FALSE,FALSE,FALSE
"23","Testudo hermanni hermanni","Testudo hermanni","hermanni","Balkan Hermann's tortoise","Testudinidae","20910513/BARCELONA / 9831","U","F","Primary",NA,NA,NA,NA,NA,"A184",NA,NA,NA,"EN","Reptiles",FALSE,FALSE,"Tes_Her","Tes_Her_1","https://www.iucnredlist.org/species/21650/9306703",FALSE,FALSE,FALSE,FALSE,FALSE
"24","Heosemys spinosa","Heosemys spinosa",NA,"Spiny Turtle","Geoemydidae","6169827.0","WILD","M","Primary",NA,NA,NA,NA,NA,"A244",NA,NA,NA,"EN","Reptiles",FALSE,FALSE,"Heo_Spi","Heo_Spi_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"25","Macrochelys temminckii","Macrochelys temminckii",NA,"Alligator snapping turtle","Chelydridae","2.3771982E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A356",NA,NA,NA,"VU","Reptiles",FALSE,FALSE,"Mac_Tem","Mac_Tem_1","https://www.iucnredlist.org/species/12589/97272309",FALSE,FALSE,FALSE,FALSE,FALSE
"26","Chlamydosaurus kingii","Chlamydosaurus kingii",NA,"Frilled Lizard","Agamidae","QGH16-04206","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A294",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Chl_Kin","Chl_Kin_1","https://www.iucnredlist.org/species/170384/21644690",FALSE,FALSE,FALSE,FALSE,FALSE
"27","Chlamydosaurus kingii","Chlamydosaurus kingii",NA,"Frilled Lizard","Agamidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A110",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Chl_Kin","Chl_Kin_2","https://reptile-database.reptarium.cz/species?genus=Chlamydosaurus&species=kingii&search_param=%28%28search%3D%27Chlamydosaurus+kingii%27%29%29",FALSE,FALSE,FALSE,FALSE,FALSE
"28","Chamaeleo chamaeleon","Chamaeleo chamaeleon",NA,"Mediterranean Chameleon","Chamaeleonidae","CRAS 663/20",NA,NA,"Primary",NA,NA,NA,NA,NA,"A91",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Cha_Cha","Cha_Cha_1","https://www.iucnredlist.org/species/157246/743434",FALSE,FALSE,FALSE,FALSE,FALSE
"29","Chamaeleo chamaeleon","Chamaeleo chamaeleon",NA,"Mediterranean Chameleon","Chamaeleonidae","-",NA,NA,"Fibro","DNA",NA,NA,NA,NA,"A213",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Cha_Cha","Cha_Cha_2","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=91907&lvl=3&lin=f&keep=1&srchmode=1&unlock",TRUE,FALSE,FALSE,FALSE,FALSE
"30","Varanus albigularis","Varanus albigularis",NA,"White-throated monitor","Varanidae","QGH18-04891/ID: BARCELONA / 13202","DECOMISO/INDETERM","F","Fibro","DNA",NA,NA,NA,NA,"A173",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Var_Alb","Var_Alb_1","https://www.iucnredlist.org/species/22473612/22473630",TRUE,FALSE,FALSE,FALSE,FALSE
"31","Uromastyx acanthinura","Uromastyx acanthinura",NA,"North African Spiny-tailed Lizard","Agamidae","BARCELONA / 11362",NA,"F","Primary",NA,NA,NA,NA,NA,"A242",NA,NA,NA,"NT","Reptiles",FALSE,FALSE,"Uro_Aca","Uro_Aca_1","https://reptile-database.reptarium.cz/species?genus=Uromastyx&species=acanthinura",FALSE,FALSE,FALSE,FALSE,FALSE
"32","Varanus prasinus","Varanus prasinus",NA,"Emerald monitor","Varanidae","BHG15-00445/BARCELONA / 12643","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A268",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Var_Pra","Var_Pra_1","https://www.iucnredlist.org/species/42485751/101752115",FALSE,FALSE,FALSE,FALSE,FALSE
"33","Furcifer pardalis","Furcifer pardalis",NA,"Panther chameleon","Chamaeleonidae","TLJ22-01287/BIOPARCVA / C10","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A314",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Fur_Par","Fur_Par_1","https://www.iucnredlist.org/species/172955/6947909",FALSE,FALSE,FALSE,FALSE,FALSE
"34","Dracaena guianensis","Dracaena guianensis",NA,"Caiman lizard","Teiidae","17968157/Barcelona9399","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A452",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Dra_Gui","Dra_Gui_1","https://www.iucnredlist.org/species/44579645/44579652",TRUE,FALSE,FALSE,FALSE,FALSE
"35","Python regius","Python regius",NA,"Python regius","Pythonidae","1.7963991E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A328",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Pyt_Reg","Pyt_Reg_1","https://www.iucnredlist.org/species/177562/15340592",FALSE,FALSE,FALSE,FALSE,FALSE
"36","Python breitensteini","Python breitensteini",NA,"Bornean blood python","Pythonidae","15808636/Barcelona/7300","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A396",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Pyt_Bre","Pyt_Bre_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"37","Lampropeltis triangulum sinaloae","Lampropeltis triangulum","sinaloae","Sinaloan milksnake","Colubridae","17967337/BARCELONA / 8241","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A363",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Lam_Tri","Lam_Tri_1","https://www.iucnredlist.org/species/197493/2490171",FALSE,FALSE,FALSE,FALSE,FALSE
"38","Corucia zebrata","Corucia zebrata",NA,"Prehensile-tailed skink","Scincidae","QGH20-05473/BARCELONA / 13766","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A370",NA,NA,NA,"NT","Reptiles",FALSE,FALSE,"Cor_Zeb","Cor_Zeb_1","https://www.iucnredlist.org/species/196593/2463961",FALSE,FALSE,FALSE,FALSE,FALSE
"39","Paleosuchus palpebrosus","Paleosuchus palpebrosus",NA,"Dwarf caiman","Alligatoridae","MIG12-29661824/BARCELONA / 11356","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A264",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Pal_Pal","Pal_Pal_1","https://www.iucnredlist.org/species/46587/3009946",FALSE,FALSE,FALSE,FALSE,FALSE
"40","Crocodylus rhombifer","Crocodylus rhombifer",NA,"Cuban Crocodile","Crocodylidae","MIG12-29661824/ BARCELONA / 5277","UNKNOWN","F","Fibro","DNA",NA,NA,NA,NA,"A361",NA,NA,NA,"CR","Reptiles",TRUE,FALSE,"Cro_Rho","Cro_Rho_1",NA,TRUE,FALSE,FALSE,FALSE,FALSE
"41","Osteolaemus tetraspis","Osteolaemus tetraspis",NA,"Dwarf crocodile","Crocodylidae","17965110/BARCELONA / 595","WILD","F","Fibro","DNA",NA,NA,NA,NA,"A428",NA,NA,NA,"VU","Reptiles",TRUE,FALSE,"Ost_Tet","Ost_Tet_1","https://www.iucnredlist.org/species/15635/4931429",TRUE,FALSE,FALSE,FALSE,FALSE
"42","Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH16-04022","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A22",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Sci_Dub","Sci_Dub_1","https://www.iucnredlist.org/species/22711001/132091764",FALSE,FALSE,FALSE,FALSE,FALSE
"43","Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","enbryo's wings","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A303",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Sci_Dub","Sci_Dub_2","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi",FALSE,FALSE,FALSE,FALSE,FALSE
"44","Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH20-05382","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A312",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Sci_Dub","Sci_Dub_3","https://www.gbif.org/species/2489124",TRUE,FALSE,FALSE,FALSE,FALSE
"45","Ficedula hypoleuca","Ficedula hypoleuca",NA,"European pied flycatcher","Muscicapidae","QGH20-05449-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A38",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Fic_Hyp","Fic_Hyp_1","https://www.gbif.org/search?q=Ficedula%20Hypoleuca",FALSE,FALSE,FALSE,FALSE,FALSE
"46","Lamprotornis superbus","Lamprotornis superbus",NA,"Superb Starling","Sturnidae","MIG12-28643043",NA,NA,"Primary",NA,NA,NA,NA,NA,"A39",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Lam_Sup","Lam_Sup_1","https://www.iucnredlist.org/species/22710767/119270077",FALSE,FALSE,FALSE,FALSE,FALSE
"47","Hirundo rustica","Hirundo rustica",NA,"Barb Swallow","Hirundinidae","CRAS 60/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A117",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Hir_Rus","Hir_Rus_1","https://www.iucnredlist.org/species/22712252/137668645",FALSE,FALSE,FALSE,FALSE,FALSE
"48","Chloris chloris","Chloris chloris",NA,"European Greenfinch","Fringillidae","CRAS 75/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A122",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Chl_Chl","Chl_Chl_1","https://www.iucnredlist.org/species/22720330/132000123",FALSE,FALSE,FALSE,FALSE,FALSE
"49","Delichon urbicum","Delichon urbicum",NA,"Northern House Martin","Hirundinidae","CRAS 111/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A135",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Del_Urb","Del_Urb_1","https://www.iucnredlist.org/species/103811886/118748864",FALSE,FALSE,FALSE,FALSE,FALSE
"50","Carduelis carduelis","Carduelis carduelis",NA,"European Goldfinch","Fringillidae","SN1",NA,NA,"Primary",NA,NA,NA,NA,NA,"A134",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Car_Car","Car_Car_3","https://www.iucnredlist.org/species/103764950/152615959",FALSE,FALSE,FALSE,FALSE,FALSE
"51","Lanius senator","Lanius senator",NA,"Woodchat Shrike","Laniidae","CRAS 28/22",NA,NA,"Primary",NA,NA,NA,NA,NA,"A293",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Lan_Sen","Lan_Sen_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"52","Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","MIG12-28921127/ BARCELONA / 12368","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A380",NA,NA,NA,"CR","Birds",FALSE,FALSE,"Ama_Aut","Ama_Aut_1","https://www.gbif.org/species/7533598",FALSE,FALSE,FALSE,FALSE,FALSE
"53","Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A25",NA,NA,NA,"CR","Birds",FALSE,FALSE,"Ama_Aut","Ama_Aut_2",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"54","Guaruba guarouba","Guaruba guarouba",NA,"Golden conure","Psittaciformes","MIG12-28325141","WILD","M","Fibro",NA,NA,NA,NA,NA,"A248",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Gua_Gua","Gua_Gua_1","https://www.iucnredlist.org/species/22724703/132029835",FALSE,FALSE,FALSE,FALSE,FALSE
"55","Trichoglossus moluccanus","Trichoglossus moluccanus",NA,"Australian rainbow lorikeet","Psittacidae","WKP17-01371","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A273",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Tri_Mol","Tri_Mol_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"56","Trichoglossus moluccanus","Trichoglossus moluccanus",NA,"Australian rainbow lorikeet","Psittacidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A410",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Tri_Mol","Tri_Mol_2",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"57","Eclectus roratus","Eclectus roratus",NA,"Eclectus parrot","Psittacidae","WKP18-01463","-","M","Fibro","DNA",NA,NA,NA,NA,"A281",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Ecl_Ror","Ecl_Ror_1",NA,TRUE,FALSE,FALSE,FALSE,FALSE
"58","Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,"Hyacinth macaw","Psittacidae","QGH22-06092-IA","-","M","Fibro",NA,NA,NA,NA,NA,"A329",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Ano_Hya","Ano_Hya_1","https://www.iucnredlist.org/species/22685516/93077457",FALSE,FALSE,FALSE,FALSE,FALSE
