"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x15","iucn","iPSC","animal_id","individual_id","lines_per_individual","status","superclass"
"Hylobates lar","Hylobates lar",NA,"White-handed Gibbon","Hylobatidae","HBY14-00185/ELCHE SAF / 1276","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A467",NA,NA,NA,NA,"EN",FALSE,"A467","I_A467",1,TRUE,"Mammalia"
"Erinaceus europaeus","Erinaceus europaeus",NA,"West European Hedgehog","Erinaceinae","ERIZO1",NA,NA,"Primary",NA,NA,NA,NA,NA,"A211",NA,NA,NA,"https://www.iucnredlist.org/species/29650/2791303","LC",FALSE,"A211","I_A211",1,FALSE,"Mammalia"
"Erinaceus europaeus","Erinaceus europaeus",NA,"West European Hedgehog","Erinaceinae","QGH20-05451-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A40",NA,NA,NA,"https://animaldiversity.org/accounts/Erinaceus_europaeus/","LC",FALSE,"A40","I_A40",1,FALSE,"Mammalia"
"Suncus etruscus","Suncus etruscus",NA,"Pygmy White-toothed Shrew","Soricidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A64",NA,NA,NA,"https://www.iucnredlist.org/species/90389138/22288134","LC",FALSE,"A64","I_A64",1,FALSE,"Mammalia"
"Artibeus jamaicensis","Artibeus jamaicensis",NA,"Jamaican Fruit-eating Bat","Chiroptera",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A161",NA,NA,NA,"https://www.iucnredlist.org/species/14919/22016159","LC",FALSE,"A161","I_A161",1,FALSE,"Mammalia"
"Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","17963235/BARCELONA / 5732","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A194","*A194*",NA,NA,"https://www.iucnredlist.org/species/18734/22082429","VU",FALSE,"A194","I_A194",1,TRUE,"Mammalia"
"Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","MIG12-29239579","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A279","*A279*",NA,NA,NA,"VU",FALSE,"A279","I_A279",1,TRUE,"Mammalia"
"Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","MIG12-28324384/MIG12-28324384","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A419","*A419*",NA,NA,NA,"VU",FALSE,"A419","I_A419",1,TRUE,"Mammalia"
"Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","12022607/ BARCELONA / 4175","CAPTIVE","F","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A555",NA,"ABA23491/A555_1","BB5601",NA,"VU",FALSE,"A555","I_A555",1,TRUE,"Mammalia"
"Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","17964467 / BARCELONA / 8210","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A577",NA,NA,NA,NA,"VU",FALSE,"A577","I_A577",1,TRUE,"Mammalia"
"Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","QGH24-06738 / BARCELONA / 14607","CAPTIVE","U","Fibro","DNA",NA,NA,NA,NA,"A582",NA,NA,NA,NA,"VU",FALSE,"A582","I_A582",1,TRUE,"Mammalia"
"Myrmecophaga tridactyla","Myrmecophaga tridactyla",NA,"Giant Anteater","Myrmecophagidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A342","*A342*",NA,NA,NA,"LC",FALSE,"A342","I_A342",1,FALSE,"Mammalia"
"Myrmecophaga tridactyla","Myrmecophaga tridactyla",NA,"Giant Anteater","Myrmecophagidae","26855739/MADRID Z / OH4","CAPTIVE","F","Primary","WGS",NA,NA,NA,NA,"A436","*A436*","ABA23944",NA,NA,"LC",FALSE,"A436","I_A436",1,FALSE,"Mammalia"
"Procavia capensis","Procavia capensis",NA,"Rock hyrax","Procaviidae","CGK10-00254/BIOPARCVA / V11164","CAPTIVE","F","Fibro","DNA","RNA","RNA-Seq",NA,NA,"A353","*A353*",NA,"BB1521",NA,"LC",FALSE,"A353","I_A353",1,TRUE,"Mammalia"
"Procavia capensis","Procavia capensis",NA,"Rock hyrax","Procaviidae",NA,"CAPTIVE",NA,"Fibro","DNA","RNA","WG","RNA-SEq",NA,"A469",NA,"ABA23475","BB1563",NA,"LC",FALSE,"A469","I_A469",1,TRUE,"Mammalia"
