"taxon_id","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","TOGA","common_name","alternative_name","subspecies","genus","subfamily","family","project"
"68454","Scyliorhinus stellaris","Carcharhiniformes","Chondrichthyes","Fish","VULNERABLE",FALSE,TRUE,FALSE,1,0,0,0,0,"Tissue","genus","Scyliorhinus torazame","Chromosome",266286206,3187150,27605,"2025-02-07",NA,6014700000,36,2,"published","toga1/2","Nursehound,Nursehound shark",NA,NA,"Scyliorhinus",NA,"Scyliorhinidae","no_project"
"342570","Calotriton arnoldi","Caudata","Amphibia","Amphibia","CRITICALLY ENDANGERED",TRUE,TRUE,FALSE,5,0,0,0,0,"tongue/head/skin/testicles/frozen tail/trachea","species","Calotriton arnoldi","Scaffold",1649920,1599425,NA,"2024-02-07",NA,27012360000,12,3,"insdc_open","toga1/2","Montseny Brook newt,Montseny brook newt",NA,NA,"Calotriton","Pleurodelinae","Salamandridae","tetrapod"
"8296","Ambystoma mexicanum","Caudata","Amphibia","Amphibia","CRITICALLY ENDANGERED",TRUE,TRUE,FALSE,4,0,0,0,0,"Tail/Limb/muscle/kidney/Heart","species","Ambystoma mexicanum","Chromosome",1489131749,23068610,NA,"2024-07-30",NA,34719000000,14,3,"insdc_open","toga1/2","Axolotl,Mexican axolotl;axolotl",NA,NA,"Ambystoma",NA,"Ambystomatidae","tetrapod"
"8319","Pleurodeles waltl","Caudata","Amphibia","Amphibia","NEAR THREATENED",TRUE,TRUE,FALSE,2,1,1,0,0,"larvae/Trachea","species","Pleurodeles waltl","Chromosome",1360680797,20474000,13359,"2024-03-19",NA,20929200000,12,3,"insdc_open","toga1/2","Sharp-ribbed Salamander,Spanish ribbed newt;Iberian ribbed newt",NA,NA,"Pleurodeles",NA,"Salamandridae","tetrapod"
"256425","Lissotriton helveticus","Caudata","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,1,0,0,"Tail","species","Lissotriton helveticus","Chromosome",2132484007,7795245,NA,"2024-10-17",93,25760520000,12,3,"insdc_open","toga1/2","Palmate Newt,Palmate newt;Newt, Palmate;palmate newt",NA,NA,"Lissotriton",NA,"Salamandridae","tetrapod"
"8328","Triturus marmoratus","Caudata","Amphibia","Amphibia","VULNERABLE",FALSE,TRUE,FALSE,4,1,1,0,0,"Tissue (skin)","genus","Triturus cristatus","Chromosome",1248769876,8497210,NA,"2024-07-31",92.7,23472000000,12,3,"insdc_open","toga1/2","Marbled Newt,Marbled newt",NA,NA,"Triturus",NA,"Salamandridae","tetrapod"
"30374","Calotriton asper","Caudata","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Tail","genus","Calotriton arnoldi","Scaffold",1649920,1599425,NA,"2024-02-07",NA,27012360000,12,3,"insdc_open","toga1/2","Pyrenean Brook Salamander,Pyrenean brook salamander",NA,NA,"Calotriton",NA,"Salamandridae","tetrapod"
"57571","Salamandra salamandra","Caudata","Amphibia","Amphibia","VULNERABLE",FALSE,TRUE,FALSE,1,0,0,0,0,"Larva","family","Lissotriton helveticus","Chromosome",2132484007,7795245,NA,"2024-10-17",93,33256890000,12,3,"insdc_open","toga1/2","Common Fire Salamander,Fire salamander",NA,NA,"Salamandra",NA,"Salamandridae","tetrapod"
"197464","Agalychnis callidryas","Anura","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue","species","Agalychnis callidryas","Scaffold",1831,1757,NA,"2025-01-28",NA,6518370000,20,3,"insdc_open","toga1/2","Red-eyed Treefrog,red-eyed leaf frog",NA,NA,"Agalychnis",NA,"Hylidae","tetrapod"
"8355","Xenopus laevis","Anura","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,1,0,0,"Skin/liver/heart/muscle/eye","species","Xenopus laevis","Chromosome",155250555,22451507,45942,"2021-04-12",NA,3080700000,18,4,"insdc_open","toga1/2","African Clawed Frog,African clawed frog",NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
