"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","c_value","genome_size","genome_size_draft","contig_n50","gene_count","assembly_date","assembly_level","assembly_span","scaffold_n50","busco_completeness","chromosome_number","haploid_number","ploidy","sequencing_status","published","TOGA","common_name","genome_match","species_genome","divergence_mya_adj","taxon_id_ref","status","precomputed_age","adjusted_age","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2"
"Elaphurus davidianus","Elaphurus davidianus",NA,NA,"-","EXTINCT IN THE WILD",5,"F/F/F/M/M","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue (ear)",NA,"Elaphurus_davidianus","43332","Cervus davidianus",NA,NA,NA,NA,NA,"Elaphurus","Cervidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,3.193359375,3168720000,NA,32707,NA,"2021-12-01","Scaffold",2524808978,3039716,94,68,34,2,"insdc_open",NA,"toga1","Père David's deer,Pere David's deer","species","Elaphurus davidianus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,5,5,5,0,0,TRUE,34,"Both",1,5,2,"Artiodactyla"
"Otaria byronia","Otaria byronia",NA,NA,"-","LEAST CONCERN",5,"F/F/F/F/F","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue",NA,"Otaria_byronia","161932","Otaria flavescens;Eumetopias byronia;Otaria byroni;Phoca flavescens",NA,NA,NA,NA,NA,"Otaria","Otariidae","Carnivora","Mammalia","Chordata","Metazoa",NA,3.150390625,3080700000,NA,NA,NA,"2023-04-03","Scaffold",2450000000,144693000,NA,36,18,2,"open",NA,"toga2","South American Sea Lion,South American sea lion","species","Otaria byronia",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,5,5,5,0,0,TRUE,19,"Both",1,5,2,"Carnivora"
"Canis lupus signatus","Canis lupus","signatus",NA,"II","LEAST CONCERN",4,"M/F/F/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue/Blood","Canis lupus","Canis_lupus","9612","Aenocyon milleri;Canis dingo;Canis familiaris;Canis furlongi;Canis lycaon;Canis milleri;Canis nubilus;Canis occidentalis;Canis pambasileus;Canis petrolei;Canis tundrarum;Canis variabilis;Lupus gigas;Lupus lupus",NA,NA,NA,NA,NA,"Canis","Canidae","Carnivora","Mammalia","Chordata","Metazoa",NA,2.810546875,2748180000,NA,44625132,NA,"2023-12-27","Chromosome",2347135981,65778685,95.5,78,39,2,"insdc_open",NA,"toga2","Iberian Wolf,Timber wolf;gray wolf","species","Canis lupus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,5,5,0,0,TRUE,19,"Both",1,5,2,"Carnivora"
"Lemur catta","Lemur catta",NA,"Lemuridae","I","ENDANGERED",9,"M/M/M/M/F/M/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue (skin)",NA,"Lemur_catta","9447","Maki mococo",NA,NA,NA,NA,NA,"Lemur","Lemuridae","Primates","Mammalia","Chordata","Metazoa",NA,3.279296875,3207840000,NA,32529614,NA,"2021-11-04","Chromosome",2245584463,102162704,NA,56,28,2,"published","ZOONOMIA","not_in_toga","Ring-tailed Lemur,Ring-tailed lemur","species","Lemur catta",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,10,6,6,0,0,TRUE,26,"Both",1,6,2,"Primates"
"Aepyceros melampus","Aepyceros melampus",NA,"Aepycerotinae","-","LEAST CONCERN",8,"U/M/M/F/M/F/F","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue (ear)",NA,"Aepyceros_melampus","9897","Antilope melampus",NA,NA,NA,NA,NA,"Aepyceros","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,4.69140625,4586820000,NA,82459,NA,"2019-06-24","Scaffold",2631303056,344542,72.2,60,30,2,"insdc_open",NA,"not_in_toga","Impala,Impala;impala","species","Aepyceros melampus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,8,6,6,0,0,TRUE,34,"Both",1,6,2,"Artiodactyla"
"Ateles hybridus","Ateles hybridus",NA,"Atelinae","II","CRITICALLY ENDANGERED",8,"F/F/F/M/F/U/M/U","Mammalia","Fibro","X","X","X","X","X","X","Tissue/placenta",NA,"Ateles_hybridus","129801","Ateles belzebuth hybridus;Ameranthropoides loysi;Ateles albifrons;Ateles hybridus brunneus;Ateles hybridus hybridus",NA,NA,NA,NA,NA,"Ateles","Atelidae","Primates","Mammalia","Chordata","Metazoa",NA,3.23828125,3166275000,NA,50515269,NA,"2021-09-22","Scaffold",2643274663,50515269,NA,34,17,2,"insdc_open",NA,"toga2","Brown Spider Monkey,brown spider monkey","species","Ateles hybridus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,7,6,6,0,1,TRUE,26,"Both",1,6,2,"Primates"
"Panthera onca","Panthera onca",NA,"Pantherinae","I","NEAR THREATENED",4,"F/F","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue",NA,"Panthera_onca","9690","Felis augustus;Felis onca;Felis onca boliviensis;Felis onca coxi;Felis onca ucayalae;Felis veronis;Panthera augusta;Panthera onca augusta;Uncia augusta",NA,NA,NA,NA,NA,"Panthera","Felidae","Carnivora","Mammalia","Chordata","Metazoa",NA,2.830078125,2767740000,NA,51083,NA,"2023-02-09","Chromosome",2498323642,132627732,NA,38,19,2,"published","ZOONOMIA","toga2","Jaguar,jaguar","species","Panthera onca",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,5,6,6,0,0,TRUE,19,"Both",1,6,2,"Carnivora"
"Notamacropus rufogriseus","Notamacropus rufogriseus",NA,NA,"-","LEAST CONCERN",9,"M/M/M/F/U/M/F/F/M/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Notamacropus_rufogriseus","1960652","Kangurus rufogriseus;Macropus rufogriseus",NA,NA,NA,NA,NA,"Notamacropus","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa",NA,4.46875,4371659999,NA,938,NA,"2021-01-28","Contig",1394447,938,NA,16,8,2,"insdc_open",NA,"toga1/2",NA,"species","Notamacropus rufogriseus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,10,7,7,0,0,TRUE,3,"Both",1,7,2,"Diprotodontia"
"Suricata suricatta","Suricata suricatta",NA,NA,"-","LEAST CONCERN",6,"F/F/M/-/M","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue",NA,"Suricata_suricatta","37032","Viverra suricatta;Viverra suricata",NA,NA,NA,NA,NA,"Suricata","Herpestidae","Carnivora","Mammalia","Chordata","Metazoa",NA,2.873046875,2823975000,NA,75409,NA,"2019-07-03","Chromosome",2353578744,141453419,NA,36,18,2,"published","ZOONOMIA","toga1","Meerkat,meerkat","species","Suricata suricatta",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,6,7,7,0,0,TRUE,19,"Both",1,7,2,"Carnivora"
"Cercocebus lunulatus","Cercocebus lunulatus",NA,NA,"II","ENDANGERED",6,"-/F/M/F/F/F","Mammalia","Fibro","X","X","X","x","x",NA,NA,"Cercocebus lunulatus","Cercocebus_lunulatus","3074498","Cercocebus atys lunulatus;Cercocebus torquatus lunulatus",NA,NA,NA,NA,NA,"Cercocebus","Cercopithecidae","Primates","Mammalia","Chordata","Metazoa",NA,4.12109375,4029360000,NA,36497,NA,"2023-11-03","Scaffold",2754501585,36500,NA,42,21,2,NA,NA,"toga1/2",NA,"species","Cercocebus lunulatus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,6,8,8,0,0,TRUE,26,"Both",1,8,2,"Primates"
