"animal_ID","sample_id","species","superclass","DNA_ex","RNA_ex","pellet","CT_total","n_passages","reps","next_step"
"A424","Bos_Gru_1","Bos grunniens","Mammalia",TRUE,FALSE,0,4,1,"techrep1","thaw_line"
"A471","Ovi_Ari_1","Ovis aries","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
"A474","Ovi_Ari_2","Ovis aries","Mammalia",FALSE,TRUE,2,4,2,"biorep","seq"
"A208","Ran_Tar_1","Rangifer tarandus","Mammalia",FALSE,FALSE,0,2,1,"biorep","thaw_line"
"A475","Ran_Tar_2","Rangifer tarandus","Mammalia",FALSE,TRUE,2,4,2,"biorep","seq"
"A239","Axi_Axi_1","Axis axis","Mammalia",FALSE,FALSE,0,5,4,"techrep1","from_cryo"
"A271","Ela_Dav_1","Elaphurus davidianus","Mammalia",TRUE,TRUE,0,2,1,"biorep","seq"
"A382","Ela_Dav_2","Elaphurus davidianus","Mammalia",TRUE,TRUE,4,3,2,"biorep","seq"
"A418","Ela_Dav_3","Elaphurus davidianus","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
"A446","Mun_Ree_1","Muntiacus reevesi","Mammalia",TRUE,FALSE,0,4,2,"techrep1","thaw_line"
"A48","Gir_Cam_1","Giraffa camelopardalis","Mammalia",TRUE,TRUE,0,8,5,"biorep","seq"
"A12","Gir_Cam_2","Giraffa camelopardalis","Mammalia",FALSE,FALSE,0,NA,NA,"biorep","thaw_line"
"A37","Hex_Lib_1","Hexaprotodon liberiensis","Mammalia",TRUE,TRUE,0,5,3,"techrep1","seq"
"A143","Cam_Bac_1","Camelus bactrianus","Mammalia",TRUE,TRUE,1,4,2,"techrep1","seq"
"A168","Lam_Gua_1","Lama guanicoe","Mammalia",FALSE,FALSE,0,3,3,"biorep","thaw_line"
"A31","Lam_Gua_2","Lama guanicoe","Mammalia",TRUE,FALSE,0,2,2,"biorep","thaw_line"
"A159","Sus_Scr_1","Sus scrofa","Mammalia",TRUE,TRUE,1,4,2,"techrep1","seq"
"A288","Pha_Afr_1","Phacochoerus africanus","Mammalia",TRUE,FALSE,0,3,2,"biorep","thaw_line"
"A289","Pha_Afr_2","Phacochoerus africanus","Mammalia",TRUE,FALSE,0,2,1,"biorep","thaw_line"
"A247","Pha_Afr_3","Phacochoerus africanus","Mammalia",FALSE,FALSE,0,1,1,"biorep","thaw_line"
"A423","Pha_Afr_4","Phacochoerus africanus","Mammalia",TRUE,TRUE,1,2,1,"biorep","seq"
"A4","Tur_Tru_1","Tursiops truncatus","Mammalia",FALSE,FALSE,0,6,4,"techrep1","from_cryo"
"A304","Del_Leu_1","Delphinapterus leucas","Mammalia",TRUE,FALSE,0,6,1,"techrep1","thaw_line"
"A331","Meg_Nov_1","Megaptera novaeangliae","Mammalia",TRUE,FALSE,1,4,1,"techrep1","thaw_line"
"A260","Equ_Qua_1","Equus quagga","Mammalia",FALSE,FALSE,0,4,3,"biorep","thaw_line"
"A15","Equ_Qua_2","Equus quagga","Mammalia",TRUE,TRUE,2,1,1,"biorep","seq"
"A308","Equ_Cab_1","Equus caballus","Mammalia",TRUE,TRUE,1,4,3,"techrep1","seq"
"A14","Pan_Leo_1","Panthera leo","Mammalia",TRUE,TRUE,0,1,1,"biorep","seq"
"A65","Pan_Leo_2","Panthera leo","Mammalia",TRUE,FALSE,1,5,2,"biorep","thaw_line"
"A10","Pan_Leo_3","Panthera leo","Mammalia",TRUE,FALSE,1,2,1,"biorep","thaw_line"
"A13","Pan_Leo_4","Panthera leo","Mammalia",TRUE,TRUE,0,4,2,"biorep","seq"
"A197","Pan_Leo_5","Panthera leo","Mammalia",FALSE,FALSE,0,2,2,"biorep","thaw_line"
"A296","Pan_Leo_6","Panthera leo","Mammalia",TRUE,FALSE,0,3,1,"biorep","thaw_line"
"A416","Pan_Leo_7","Panthera leo","Mammalia",TRUE,FALSE,1,2,1,"biorep","thaw_line"
"A417","Pan_Leo_8","Panthera leo","Mammalia",TRUE,FALSE,0,2,1,"biorep","thaw_line"
"A217","Pan_Onc_1","Panthera onca","Mammalia",FALSE,FALSE,0,NA,NA,"biorep","thaw_line"
"A32","Pan_Onc_2","Panthera onca","Mammalia",FALSE,FALSE,0,10,4,"biorep","from_cryo"
"A72","Pan_Onc_4","Panthera onca","Mammalia",TRUE,FALSE,1,5,2,"biorep","thaw_line"
"A403","Pan_Onc_5","Panthera onca","Mammalia",TRUE,FALSE,1,4,2,"biorep","thaw_line"
"A205","Pan_Par_1","Panthera pardus","Mammalia",FALSE,FALSE,0,2,2,"biorep","thaw_line"
"A365","Pan_Par_2","Panthera pardus","Mammalia",FALSE,FALSE,0,4,2,"biorep","thaw_line"
"A439","Pan_Tig_1","Panthera tigris","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
"A462","Pan_Tig_2","Panthera tigris","Mammalia",TRUE,TRUE,0,4,2,"biorep","seq"
"A2","Can_Lup_1","Canis lupus","Mammalia",TRUE,FALSE,3,3,2,"biorep","thaw_line"
"A463","Can_Lup_2","Canis lupus","Mammalia",TRUE,TRUE,1,4,1,"biorep","seq"
"A464","Can_Lup_3","Canis lupus","Mammalia",TRUE,TRUE,0,4,1,"biorep","seq"
"A472","Can_Lup_4","Canis lupus","Mammalia",TRUE,FALSE,1,3,1,"biorep","isolation"
"A153","Urs_Thi_1","Ursus thibetanus","Mammalia",TRUE,FALSE,0,4,2,"techrep1","thaw_line"
"A176","Ail_Mel_2","Ailuropoda melanoleuca","Mammalia",FALSE,FALSE,0,9,4,"techrep1","from_cryo"
"A149","Ail_Ful_2","Ailurus fulgens","Mammalia",FALSE,FALSE,0,1,1,"biorep","thaw_line"
"A234","Ail_Ful_3","Ailurus fulgens","Mammalia",FALSE,FALSE,0,2,2,"biorep","thaw_line"
"A332","Ail_Ful_4","Ailurus fulgens","Mammalia",TRUE,FALSE,0,2,1,"biorep","thaw_line"
"A404","Ail_Ful_5","Ailurus fulgens","Mammalia",TRUE,FALSE,0,6,2,"biorep","thaw_line"
