"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x14","iucn","iPSC","status","superclass"
"87.0","Ateles hybridus","Ateles hybridus",NA,"Brown Spider Monkey","Atelidae","QGH22-06222/QGH22-06222","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A412","A412",NA,NA,"*A412*",NA,NA,"CR",FALSE,FALSE,"Mammalia"
"88.0","Pongo pygmaeus","Pongo pygmaeus",NA,"Northwest Bornean orangutan","Hominidae","MIG12-3008890","CAPTIVE","F","Fibro","DNA","SEQ",NA,NA,NA,"A318","A318",NA,NA,"*A318*","ORGONE_07","https://animaldiversity.org/accounts/Pongo_pygmaeus/","CR",FALSE,TRUE,"Mammalia"
"88.0","Pongo pygmaeus","Pongo pygmaeus",NA,"Northwest Bornean orangutan","Hominidae","Antoine Blancher (Chris Tyler-Smith)","-",NA,"Fibro","DNA","K","iPSC","SEQ","Pongo pygmeaus A157","A157","A157",NA,NA,"*A157*","AX8918/ORGONE_07",NA,"CR",TRUE,TRUE,"Mammalia"
"88.0","Pongo pygmaeus","Pongo pygmaeus",NA,"Northwest Bornean orangutan","Hominidae","QGH22-06066/BARCELONA / 14107","CAPTIVE","M","Fibro","DNA","RNA",NA,NA,NA,"A461","A461",NA,NA,NA,NA,NA,"CR",FALSE,TRUE,"Mammalia"
"89.0","Cercocebus atys lunulatus","Cercocebus atys","lunulatus","White-naped Mangabey","Cercopithecidae","MC21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A162","A162",NA,NA,"*A162*",NA,NA,"EN",FALSE,FALSE,"Mammalia"
"89.0","Cercocebus atys lunulatus","Cercocebus atys","lunulatus","White-naped Mangabey","Cercopithecidae","QGH16-04243","CAPTIVE","F","Fibro","DNA","K","SEQ",NA,"Cercocebus atys lunulatus A92","A92/A219/A368","A92","A219","A368","*A92/A219/A368*","AX8907","https://www.iucnredlist.org/species/4206/92247733","EN",FALSE,TRUE,"Mammalia"
"89.0","Cercocebus atys lunulatus","Cercocebus atys","lunulatus","White-naped Mangabey","Cercopithecidae","QGH16-04193","CAPTIVE","M","Fibro","K","DNA","SEQ",NA,NA,"A102/A206/A306","A102","A206","A306","*A102/A206/A306*","AX8915","https://animaldiversity.org/accounts/Cercocebus_atys/","EN",FALSE,TRUE,"Mammalia"
"89.0","Cercocebus atys lunulatus","Cercocebus atys","lunulatus","White-naped Mangabey","Cercopithecidae","4858688/JEREZ / MC2","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A241","A241",NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9531&lvl=3&lin=f&keep=1&srchmode=1&unlock","EN",FALSE,FALSE,"Mammalia"
"89.0","Cercocebus atys lunulatus","Cercocebus atys","lunulatus","White-naped Mangabey","Cercopithecidae","QGH16-04293/BARCELONA / 12898","CAPTIVE","F","Fibro","DNA","SEQ",NA,NA,NA,"A369","A369",NA,NA,"*A369*","AX8908",NA,"EN",FALSE,TRUE,"Mammalia"
"90.0","Cercocebus torquatus","Cercocebus torquatus",NA,"Red-capped mangabey","Cercopithecidae","QGH14-02193/BARCELONA / 12333","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A183","A183",NA,NA,"*A183*",NA,"https://www.iucnredlist.org/species/4201/154210757","EN",FALSE,TRUE,"Mammalia"
"90.0","Cercocebus torquatus","Cercocebus torquatus",NA,"Red-capped mangabey","Cercopithecidae","5724123 Barcelona/9381","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A287","A287",NA,NA,"*A287*",NA,"https://www.ncbi.nlm.nih.gov/search/all/?term=Cercocebus%20torquatus","EN",FALSE,TRUE,"Mammalia"
"91.0","Lophocebus aterrimus","Lophocebus aterrimus",NA,"Black Mangabey","Cercopithecidae","QVG16-00005/ELCHE SAF / 1301","CAPTIVE","M","unclear",NA,NA,NA,NA,NA,"A154","A154",NA,NA,NA,NA,"https://www.iucnredlist.org/species/12310/166607638","VU",FALSE,TRUE,"Mammalia"
"91.0","Lophocebus aterrimus","Lophocebus aterrimus",NA,"Black Mangabey","Cercopithecidae","MIG12-28090305/ELCHE SAF / 1337","CAPTIVE","F","unclear",NA,NA,NA,NA,NA,"A277","A277",NA,NA,NA,NA,"https://animaldiversity.org/accounts/Cercopithecus_wolfi/","VU",FALSE,TRUE,"Mammalia"
"92.0","Mandrillus sphinx","Mandrillus sphinx",NA,"Mandrill","Cercopithecidae","WKP21-01923/MN31","CAPTIVE","U","Fibro","DNA","K","SEQ","iPSC","Mandrillus sphinx A163","A163","A163",NA,NA,"*A163*","AX8919","https://www.iucnredlist.org/species/12754/17952325","VU",TRUE,TRUE,"Mammalia"
"92.0","Mandrillus sphinx","Mandrillus sphinx",NA,"Mandrill","Cercopithecidae","8425827/MADRIDZ/MN17","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A339","A339",NA,NA,"*A339*",NA,"https://animaldiversity.org/accounts/Mandrillus_sphinx/","VU",FALSE,TRUE,"Mammalia"
"93.0","Mandrillus leucophaeus","Mandrillus leucophaeus",NA,"Drill","Cercopithecidae","QGH13-01342","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A360","A360",NA,NA,"*A360*",NA,"https://www.iucnredlist.org/species/12753/17952490","VU",FALSE,TRUE,"Mammalia"
"93.0","Mandrillus leucophaeus","Mandrillus leucophaeus",NA,"Drill","Cercopithecidae","QGH14-02210","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A359","A359",NA,NA,"*A359*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
