"taxon_id","scientific_name","common_name","alternative_name","genus","subfamily","family","order","class","iucn_category","genome","annotation","zoonomia","samples","sex","cell_line","i_psc","sample","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession"
"9925","Capra hircus","Domestic goat,[""Domestic goat""]",NA,"Capra",NA,"Bovidae","Artiodactyla","Mammalia","NA",TRUE,TRUE,TRUE,3,"F/M/F","Fibro",NA,"Tissue","Chromosome",87277232,26244591,28911,"2016-08-24",NA,3168720000,30,2,"insdc_open","102.0","ARS1","GCA_001704415.1"
"80419","Capra pyrenaica","Spanish ibex,[""Spanish ibex""]",NA,"Capra",NA,"Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3163830000,30,2,"sample_acquired",NA,NA,NA
"56798","Hexaprotodon liberiensis","Pygmi Hippopotamus,[""pygmy hippopotamus""]","Choeropsis liberiensis","Hexaprotodon",NA,"Hippopotamidae","Artiodactyla","Mammalia","ENDANGERED",TRUE,FALSE,FALSE,1,"F","Fibro",NA,"Tissue (skin)","Chromosome",142594368,20244513,NA,"2022-04-22",NA,3041580000,18,2,"insdc_open",NA,NA,NA
"59528","Connochaetes gnou","Black Wildebeest,[""black wildebeest""]",NA,"Connochaetes",NA,"Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3853320000,29,2,NA,NA,NA,NA
"9927","Connochaetes taurinus","Ble Wildebeest,[""brindled gnu""]",NA,"Connochaetes","Alcelaphinae","Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"M","Fibro/PBMc",NA,NA,"Scaffold",366224,70608,NA,"2019-06-24",NA,3853320000,29,2,"insdc_open",NA,NA,NA
"30532","Dama dama","Fallow deer,[""Fallow deer""]",NA,"Dama",NA,"Cervidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"F","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3168720000,34,2,NA,NA,NA,NA
"43332","Elaphurus davidianus","Père David's deer,[""Pere David's deer""]",NA,"Elaphurus",NA,"Cervidae","Artiodactyla","Mammalia","EXTINCT IN THE WILD",TRUE,TRUE,TRUE,3,"F/F/F","Fibro",NA,"Tissue (ear)","Scaffold",3039716,32707,NA,"2021-12-01",94,3168720000,34,2,"insdc_open",NA,NA,NA
"69301","Gazella cuvieri","Cuvier's Gazelle,[""Cuvier's gazelle""]",NA,"Gazella","Antilopinae","Bovidae","Artiodactyla","Mammalia","VULNERABLE",TRUE,FALSE,FALSE,1,"U","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3447450000,16,2,NA,NA,NA,NA
"37751","Gazella dorcas","Dorcas Gazelle,[""Dorcas gazelle""]",NA,"Gazella","Antilopinae","Bovidae","Artiodactyla","Mammalia","VULNERABLE",TRUE,FALSE,FALSE,8,"M/M/F/M/F/M/U/F","Fibro",NA,"tissue (ear)",NA,NA,NA,NA,"2023-04-03",NA,3447450000,15,2,NA,NA,NA,NA
"9894","Giraffa camelopardalis","Cameleopardis giraffe,[""Reticulated giraffe""]",NA,"Giraffa",NA,"Giraffidae","Artiodactyla","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,2,"F/F","Fibro",NA,NA,"Scaffold",3153258,25056,NA,"2023-04-03",NA,2709060000,15,2,"insdc_open",NA,NA,NA
"9840","Lama guanicoe","Guanaco,[""Guanaco""]",NA,"Lama",NA,"Camelidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,3,"F/F/-","Fibro",NA,NA,"Scaffold",14786206,343812,NA,"2023-04-03",NA,3139380000,37,2,"insdc_open",NA,NA,NA
"67940","Nanger dama","Dama Gazelle,[""Dama gazelle""]",NA,"Nanger","Antilopinae","Bovidae","Artiodactyla","Mammalia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,14,"F/F/F/F/F/F/F/F/M/M","Fibro",NA,"blood/placenta/ombelical cord","Scaffold",37125998,37125998,NA,"2021-11-18",NA,3403440000,15,2,"insdc_open",NA,NA,NA
"59534","Oryx dammah","Scimitar-horned Oryx,[""scimitar-horned oryx""]",NA,"Oryx","Antilopinae","Bovidae","Artiodactyla","Mammalia","EXTINCT IN THE WILD",TRUE,TRUE,TRUE,3,"F/F/M","Fibro","X","Tissue","Scaffold",100398400,374342,32423,"2020-09-25",NA,3892440000,28,2,"insdc_open","100.0",NA,NA
"9958","Oryx gazella","Gemsbok,[""gemsbok""]","Oryx gazelle","Oryx","Antilopinae","Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"U","Fibro",NA,"Tissue","Scaffold",1579191,19498,NA,"2018-12-14",NA,3892440000,28,2,"insdc_open",NA,NA,NA
"9940","Ovis aries","Mouflon,[""Sheep""]",NA,"Ovis",NA,"Bovidae","Artiodactyla","Mammalia","NA",TRUE,TRUE,TRUE,1,"F","Fibro",NA,"Tissue","Chromosome",101274418,43178051,33801,"2021-02-03",NA,3227400000,27,2,"insdc_open","104.0","Oar_rambouillet_v1.0","GCA_002742125.1"
"273791","Potamochoerus porcus","Red River Hog,[""red river hog""]",NA,"Potamochoerus",NA,"Suidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,2,"M/M","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,2885100000,17,2,NA,NA,NA,NA
