"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","link","dna","karyo","rna","seq"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","-","CAPTIVE",NA,"Primary",NA,"Amb_Mex_2","A351",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Amb_Mex","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi",FALSE,FALSE,FALSE,FALSE
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","-","CAPTIVE",NA,"Primary",NA,"Amb_Mex_3","A352",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Amb_Mex",NA,FALSE,FALSE,FALSE,FALSE
"Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae","-","CAPTIVE",NA,"Primary",NA,"Ple_Wal_1","A203",NA,NA,NA,"NT","Amphibian",FALSE,FALSE,"Ple_Wal",NA,FALSE,FALSE,FALSE,FALSE
"Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae","QGH23-06328-IA","-","U","Primary",NA,"Ple_Wal_2","A454",NA,NA,NA,"NT","Amphibian",FALSE,FALSE,"Ple_Wal","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8319&lvl=3&lin=f&keep=1&srchmode=1&unlock",FALSE,FALSE,FALSE,FALSE
"Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae",NA,NA,"U","Fibro",NA,"Ple_Wal_3","A496",NA,NA,NA,"NT","Amphibian",TRUE,FALSE,"Ple_Wal",NA,FALSE,FALSE,FALSE,FALSE
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae","MIG12-29917973","CAPTIVE","U","Primary",NA,"Aly_Mul_1","A26",NA,NA,NA,"EN","Amphibian",FALSE,FALSE,"Aly_Mul","https://www.iucnredlist.org/species/977/89697685",FALSE,FALSE,FALSE,FALSE
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae",NA,"CAPTIVE","U","Primary",NA,"Aly_Mul_2","A481",NA,NA,NA,"EN","Amphibian",FALSE,FALSE,"Aly_Mul","https://www.miteco.gob.es/es/biodiversidad/temas/inventarios-nacionales/anfibios_12_tcm30-98887.pdf",FALSE,FALSE,FALSE,FALSE
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae",NA,"CAPTIVE","U","Primary",NA,"Aly_Mul_3","A487",NA,NA,NA,"EN","Amphibian",FALSE,FALSE,"Aly_Mul","http://digital.csic.es/bitstream/10261/108319/3/alymul_v4.pdf",FALSE,FALSE,FALSE,FALSE
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae",NA,"CAPTIVE","U","Primary",NA,"Aly_Mul_4","A488",NA,NA,NA,"EN","Amphibian",FALSE,FALSE,"Aly_Mul","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97955",FALSE,FALSE,FALSE,FALSE
"Agalychnis callidryas","Agalychnis callidryas",NA,"Red-eyed Treefrog","Phyllomedusidae","-","CAPTIVE",NA,"Primary",NA,"Aga_Cal_1","A378",NA,NA,NA,"LC","Amphibian",FALSE,FALSE,"Aga_Cal","https://www.iucnredlist.org/species/55290/3028059",FALSE,FALSE,FALSE,FALSE
"Aldabrachelys gigantea","Aldabrachelys gigantea",NA,"Aldabra giant tortoise","Testudinidae","QGH19-05103/JEREZ / ALDABRA3","WILD","U","Primary",NA,"Ald_Gig_1","A71",NA,NA,NA,"VU","Reptiles",FALSE,FALSE,"Ald_Gig","https://www.iucnredlist.org/species/9010/12949962",FALSE,FALSE,FALSE,FALSE
"Terrapene nelsoni","Terrapene nelsoni",NA,"Spotted Box Turtle","Emydidae","FRW17-00799/JEREZ / TENE07","U","M","Primary",NA,"Ter_Nel_1","A108",NA,NA,NA,"DD","Reptiles",FALSE,FALSE,"Ter_Nel","https://iucn-tftsg.org/terrapene-nelsoni-060/",FALSE,FALSE,FALSE,FALSE
"Terrapene nelsoni","Terrapene nelsoni",NA,"Spotted Box Turtle","Emydidae","FRW17-00798/JEREZ / TENE06","U","F","Primary",NA,"Ter_Nel_2","A82",NA,NA,NA,"DD","Reptiles",FALSE,FALSE,"Ter_Nel","https://www.iucnredlist.org/species/21643/97298467",FALSE,FALSE,FALSE,FALSE
"Graptemys pseudogeographica","Graptemys pseudogeographica",NA,"Map turtle","Emydidae","QGH23-06415-IA","U","U","Fibro",NA,"Gra_Pse_1","A480",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Gra_Pse","https://www.iucnredlist.org/species/165600/97424024",TRUE,FALSE,TRUE,FALSE
"Caretta caretta","Caretta caretta",NA,"Loggerhead Turtle","Cheloniidae","-",NA,NA,"PBMc",NA,"Car_Car_1","A151",NA,NA,NA,"VU","Reptiles",TRUE,FALSE,"Car_Car","https://www.iucnredlist.org/species/3897/119333622",FALSE,FALSE,FALSE,FALSE
"Caretta caretta","Caretta caretta",NA,"Loggerhead Turtle","Cheloniidae","-",NA,NA,"PBMc",NA,"Car_Car_2","A152",NA,NA,NA,"VU","Reptiles",TRUE,FALSE,"Car_Car","https://reptile-database.reptarium.cz/species?genus=Caretta&species=caretta",FALSE,FALSE,FALSE,FALSE
"Stigmochelys pardalis","Stigmochelys pardalis",NA,"Leopard Tortoise","Testudinidae","FRW18-00897/JEREZ / PAR-5","U","U","Primary",NA,"Sti_Par_1","A88",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Sti_Par","https://www.iucnredlist.org/species/163449/1009442",FALSE,FALSE,FALSE,FALSE
"Testudo hermanni hermanni","Testudo hermanni","hermanni","Balkan Hermann's tortoise","Testudinidae","20910513/BARCELONA / 9831","U","F","Primary",NA,"Tes_Her_1","A184",NA,NA,NA,"EN","Reptiles",FALSE,FALSE,"Tes_Her","https://www.iucnredlist.org/species/21650/9306703",FALSE,FALSE,FALSE,FALSE
"Heosemys spinosa","Heosemys spinosa",NA,"Spiny Turtle","Geoemydidae","6169827.0","WILD","M","Primary",NA,"Heo_Spi_1","A244",NA,NA,NA,"EN","Reptiles",FALSE,FALSE,"Heo_Spi",NA,FALSE,FALSE,FALSE,FALSE
"Macrochelys temminckii","Macrochelys temminckii",NA,"Alligator snapping turtle","Chelydridae","2.3771982E7","CAPTIVE","F","Primary",NA,"Mac_Tem_1","A356",NA,NA,NA,"VU","Reptiles",FALSE,FALSE,"Mac_Tem","https://www.iucnredlist.org/species/12589/97272309",FALSE,FALSE,FALSE,FALSE
"Chlamydosaurus kingii","Chlamydosaurus kingii",NA,"Frilled Lizard","Agamidae","QGH16-04206","CAPTIVE","F","Primary",NA,"Chl_Kin_1","A294",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Chl_Kin","https://www.iucnredlist.org/species/170384/21644690",FALSE,FALSE,FALSE,FALSE
"Chlamydosaurus kingii","Chlamydosaurus kingii",NA,"Frilled Lizard","Agamidae","-",NA,NA,"Primary",NA,"Chl_Kin_2","A110",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Chl_Kin","https://reptile-database.reptarium.cz/species?genus=Chlamydosaurus&species=kingii&search_param=%28%28search%3D%27Chlamydosaurus+kingii%27%29%29",FALSE,FALSE,FALSE,FALSE
"Chamaeleo chamaeleon","Chamaeleo chamaeleon",NA,"Mediterranean Chameleon","Chamaeleonidae","CRAS 663/20",NA,NA,"Primary",NA,"Cha_Cha_1","A91",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Cha_Cha","https://www.iucnredlist.org/species/157246/743434",FALSE,FALSE,FALSE,FALSE
"Chamaeleo chamaeleon","Chamaeleo chamaeleon",NA,"Mediterranean Chameleon","Chamaeleonidae","-",NA,NA,"Fibro",NA,"Cha_Cha_2","A213",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Cha_Cha","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=91907&lvl=3&lin=f&keep=1&srchmode=1&unlock",TRUE,FALSE,FALSE,FALSE
"Varanus albigularis","Varanus albigularis",NA,"White-throated monitor","Varanidae","QGH18-04891/ID: BARCELONA / 13202","DECOMISO/INDETERM","F","Fibro",NA,"Var_Alb_1","A173",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Var_Alb","https://www.iucnredlist.org/species/22473612/22473630",TRUE,FALSE,FALSE,FALSE
"Uromastyx acanthinura","Uromastyx acanthinura",NA,"North African Spiny-tailed Lizard","Agamidae","BARCELONA / 11362",NA,"F","Primary",NA,"Uro_Aca_1","A242",NA,NA,NA,"NT","Reptiles",FALSE,FALSE,"Uro_Aca","https://reptile-database.reptarium.cz/species?genus=Uromastyx&species=acanthinura",FALSE,FALSE,FALSE,FALSE
"Varanus prasinus","Varanus prasinus",NA,"Emerald monitor","Varanidae","BHG15-00445/BARCELONA / 12643","CAPTIVE","M","Primary",NA,"Var_Pra_1","A268",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Var_Pra","https://www.iucnredlist.org/species/42485751/101752115",FALSE,FALSE,FALSE,FALSE
"Furcifer pardalis","Furcifer pardalis",NA,"Panther chameleon","Chamaeleonidae","TLJ22-01287/BIOPARCVA / C10","CAPTIVE","F","Primary",NA,"Fur_Par_1","A314",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Fur_Par","https://www.iucnredlist.org/species/172955/6947909",FALSE,FALSE,FALSE,FALSE
"Dracaena guianensis","Dracaena guianensis",NA,"Caiman lizard","Teiidae","17968157/Barcelona9399","CAPTIVE","F","Fibro",NA,"Dra_Gui_1","A452",NA,NA,NA,"LC","Reptiles",TRUE,FALSE,"Dra_Gui","https://www.iucnredlist.org/species/44579645/44579652",TRUE,FALSE,FALSE,FALSE
"Eublepharis macularius","Eublepharis macularius",NA,"Leopard gecko","Eublepharidae",NA,"CAPTIVE","M","Primary",NA,"Eub_Mac_1","A479",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Eub_Mac","https://www.iucnredlist.org/species/164745/1072324",FALSE,FALSE,FALSE,FALSE
"Python regius","Python regius",NA,"Python regius","Pythonidae","1.7963991E7","CAPTIVE","F","Primary",NA,"Pyt_Reg_1","A328",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Pyt_Reg","https://www.iucnredlist.org/species/177562/15340592",FALSE,FALSE,FALSE,FALSE
"Python breitensteini","Python breitensteini",NA,"Bornean blood python","Pythonidae","15808636/Barcelona/7300","CAPTIVE","F","Primary",NA,"Pyt_Bre_1","A396",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Pyt_Bre",NA,FALSE,FALSE,FALSE,FALSE
"Lampropeltis triangulum sinaloae","Lampropeltis triangulum","sinaloae","Sinaloan milksnake","Colubridae","17967337/BARCELONA / 8241","CAPTIVE","F","Primary",NA,"Lam_Tri_1","A363",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Lam_Tri","https://www.iucnredlist.org/species/197493/2490171",FALSE,FALSE,FALSE,FALSE
"Acrantophis dumerili","Acrantophis dumerili",NA,"Dumeril's ground boa","Boidae","QGH13-01358/BARCELONA / 12003","CAPTIVE","F","Primary",NA,"Acr_Dum_1","A518",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Acr_Dum","https://www.iucnredlist.org/species/282/13054798",FALSE,FALSE,FALSE,FALSE
"Corucia zebrata","Corucia zebrata",NA,"Prehensile-tailed skink","Scincidae","QGH20-05473/BARCELONA / 13766","CAPTIVE","U","Primary",NA,"Cor_Zeb_1","A370",NA,NA,NA,"NT","Reptiles",FALSE,FALSE,"Cor_Zeb","https://www.iucnredlist.org/species/196593/2463961",FALSE,FALSE,FALSE,FALSE
"Paleosuchus palpebrosus","Paleosuchus palpebrosus",NA,"Dwarf caiman","Alligatoridae","MIG12-29661824/BARCELONA / 11356","CAPTIVE","U","Primary",NA,"Pal_Pal_1","A264",NA,NA,NA,"LC","Reptiles",FALSE,FALSE,"Pal_Pal","https://www.iucnredlist.org/species/46587/3009946",FALSE,FALSE,FALSE,FALSE
"Crocodylus rhombifer","Crocodylus rhombifer",NA,"Cuban Crocodile","Crocodylidae","MIG12-29661824/ BARCELONA / 5277","UNKNOWN","F","Fibro",NA,"Cro_Rho_1","A361",NA,NA,NA,"CR","Reptiles",TRUE,FALSE,"Cro_Rho",NA,TRUE,FALSE,FALSE,FALSE
"Osteolaemus tetraspis","Osteolaemus tetraspis",NA,"Dwarf crocodile","Crocodylidae","17965110/BARCELONA / 595","WILD","F","Fibro",NA,"Ost_Tet_1","A428",NA,NA,NA,"VU","Reptiles",TRUE,FALSE,"Ost_Tet","https://www.iucnredlist.org/species/15635/4931429",TRUE,FALSE,FALSE,FALSE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH16-04022","CAPTIVE","M","Primary",NA,"Sci_Dub_1","A22",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Sci_Dub","https://www.iucnredlist.org/species/22711001/132091764",FALSE,FALSE,FALSE,FALSE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","enbryo's wings","CAPTIVE",NA,"Primary",NA,"Sci_Dub_2","A303",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Sci_Dub","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi",FALSE,FALSE,FALSE,FALSE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH20-05382","CAPTIVE","F","Fibro",NA,"Sci_Dub_3","A312",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Sci_Dub","https://www.gbif.org/species/2489124",TRUE,FALSE,FALSE,FALSE
"Ficedula hypoleuca","Ficedula hypoleuca",NA,"European pied flycatcher","Muscicapidae","QGH20-05449-IA",NA,NA,"Primary",NA,"Fic_Hyp_1","A38",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Fic_Hyp","https://www.gbif.org/search?q=Ficedula%20Hypoleuca",FALSE,FALSE,FALSE,FALSE
"Lamprotornis superbus","Lamprotornis superbus",NA,"Superb Starling","Sturnidae","MIG12-28643043",NA,NA,"Primary",NA,"Lam_Sup_1","A39",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Lam_Sup","https://www.iucnredlist.org/species/22710767/119270077",FALSE,FALSE,FALSE,FALSE
"Hirundo rustica","Hirundo rustica",NA,"Barb Swallow","Hirundinidae","CRAS 60/21",NA,NA,"Primary",NA,"Hir_Rus_1","A117",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Hir_Rus","https://www.iucnredlist.org/species/22712252/137668645",FALSE,FALSE,FALSE,FALSE
