"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"1.0","Aldabrachelys gigantea","Aldabrachelys gigantea",NA,"Aldabra giant tortoise","Testudinidae","QGH19-05103/JEREZ / ALDABRA3","WILD","U","Primary",NA,NA,NA,NA,NA,"A71","A71",NA,NA,NA,NA,"https://www.iucnredlist.org/species/9010/12949962","VU","Reptiles",NA,FALSE,FALSE
"2.0","Terrapene nelsoni","Terrapene nelsoni",NA,"Spotted Box Turtle","Emydidae","FRW17-00799/JEREZ / TENE07","U","M","Primary",NA,NA,NA,NA,NA,"A108","A108",NA,NA,NA,NA,"https://iucn-tftsg.org/terrapene-nelsoni-060/","DD","Reptiles",NA,FALSE,FALSE
"2.0","Terrapene nelsoni","Terrapene nelsoni",NA,"Spotted Box Turtle","Emydidae","FRW17-00798/JEREZ / TENE06","U","F","Primary",NA,NA,NA,NA,NA,"A82","A82",NA,NA,NA,NA,"https://www.iucnredlist.org/species/21643/97298467","DD","Reptiles",NA,FALSE,FALSE
"3.0","Graptemys pseudogeographica","Graptemys pseudogeographica",NA,"Map turtle","Emydidae","QGH23-06415-IA","U","U","Fibro","DNA","RNA",NA,NA,NA,"A480","A480",NA,NA,NA,NA,"https://www.iucnredlist.org/species/165600/97424024","LC","Reptiles",NA,TRUE,FALSE
"4.0","Caretta caretta","Caretta caretta",NA,"Loggerhead Turtle","Cheloniidae","-",NA,NA,"PBMc",NA,NA,NA,NA,NA,"A151","A151",NA,NA,NA,NA,"https://www.iucnredlist.org/species/3897/119333622","VU","Reptiles",NA,TRUE,FALSE
"4.0","Caretta caretta","Caretta caretta",NA,"Loggerhead Turtle","Cheloniidae","-",NA,NA,"PBMc",NA,NA,NA,NA,NA,"A152","A152",NA,NA,NA,NA,"https://reptile-database.reptarium.cz/species?genus=Caretta&species=caretta","VU","Reptiles",NA,TRUE,FALSE
"5.0","Stigmochelys pardalis","Stigmochelys pardalis",NA,"Leopard Tortoise","Testudinidae","FRW18-00897/JEREZ / PAR-5","U","U","Primary",NA,NA,NA,NA,NA,"A88","A88",NA,NA,NA,NA,"https://www.iucnredlist.org/species/163449/1009442","LC","Reptiles",NA,FALSE,FALSE
"6.0","Testudo hermanni hermanni","Testudo hermanni","hermanni","Balkan Hermann's tortoise","Testudinidae","20910513/BARCELONA / 9831","U","F","Primary",NA,NA,NA,NA,NA,"A184","A184",NA,NA,NA,NA,"https://www.iucnredlist.org/species/21650/9306703","EN","Reptiles",NA,FALSE,FALSE
"7.0","Heosemys spinosa","Heosemys spinosa",NA,"Spiny Turtle","Geoemydidae","6169827.0","WILD","M","Primary",NA,NA,NA,NA,NA,"A244","A244",NA,NA,NA,NA,NA,"EN","Reptiles",NA,FALSE,FALSE
"8.0","Macrochelys temminckii","Macrochelys temminckii",NA,"Alligator snapping turtle","Chelydridae","2.3771982E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A356","A356",NA,NA,NA,NA,"https://www.iucnredlist.org/species/12589/97272309","VU","Reptiles",NA,FALSE,FALSE
"9.0","Chlamydosaurus kingii","Chlamydosaurus kingii",NA,"Frilled Lizard","Agamidae","QGH16-04206","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A294","A294",NA,NA,NA,NA,"https://www.iucnredlist.org/species/170384/21644690","LC","Reptiles",NA,FALSE,FALSE
"9.0","Chlamydosaurus kingii","Chlamydosaurus kingii",NA,"Frilled Lizard","Agamidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A110","A110",NA,NA,NA,NA,"https://reptile-database.reptarium.cz/species?genus=Chlamydosaurus&species=kingii&search_param=%28%28search%3D%27Chlamydosaurus+kingii%27%29%29","LC","Reptiles",NA,FALSE,FALSE
